reaction,direction,ReactionType,coenzyme,reaction_def
R00921,reverse,KEGG,,C02876 + C00010 => C00100 + C00009
R00922,forward,KEGG,,C00349 + C00010 + C00003 => C00100 + C00011 + C00004 + C00080
R00922,reverse,KEGG,,C00100 + C00011 + C00004 + C00080 => C00349 + C00010 + C00003
R00923,forward,KEGG,,C00683 => C00100 + C00011
R00923,reverse,KEGG,,C00100 + C00011 => C00683
R00925_v1,forward,KEGG (Modified),Mg,C00002 + C00163 + C00010 + Z00029 => C00020 + C00013 + C00100 + Z00029
R00925_v1,reverse,KEGG (Modified),Mg,C00020 + C00013 + C00100 + Z00029 => C00002 + C00163 + C00010 + Z00029
R00925_v2,forward,KEGG (Modified),Zn,C00002 + C00163 + C00010 + Z00054 => C00020 + C00013 + C00100 + Z00054
R00925_v2,reverse,KEGG (Modified),Zn,C00020 + C00013 + C00100 + Z00054 => C00002 + C00163 + C00010 + Z00054
R00926_v1,forward,KEGG (Modified),Mg,C05983 + C00010 + Z00029 => C00020 + C00100 + Z00029
R00926_v2,forward,KEGG (Modified),Zn,C05983 + C00010 + Z00054 => C00020 + C00100 + Z00054
R00927,forward,KEGG,,C00100 + C00024 => C00010 + C03344
R00927,reverse,KEGG,,C00010 + C03344 => C00100 + C00024
R00928,forward,KEGG,,C00024 + C00163 => C00033 + C00100
R00928,reverse,KEGG,,C00033 + C00100 => C00024 + C00163
R00930_v1,forward,KEGG (Modified),"Biotin, Co, Zn",C00683 + C00022 + Z00054 + Z00006 + Z00005 => C00100 + C00036 + Z00054 + Z00006 + Z00005
R00930_v1,reverse,KEGG (Modified),"Biotin, Co, Zn",C00100 + C00036 + Z00054 + Z00006 + Z00005 => C00683 + C00022 + Z00054 + Z00006 + Z00005
R00931,forward,KEGG,,C02225 + C00010 => C00100 + C00036 + C00001
R00931,reverse,KEGG,,C00100 + C00036 + C00001 => C02225 + C00010
R00932,forward,KEGG,,C02630 + C00010 => C00100 + C00001 + C00048
R00932,reverse,KEGG,,C00100 + C00001 + C00048 => C02630 + C00010
R00934_v1,forward,KEGG (Modified),Mn,C00100 + C00048 + Z00030 => C06027 + Z00030
R00934_v1,reverse,KEGG (Modified),Mn,C06027 + Z00030 => C00100 + C00048 + Z00030
R00935,forward,KEGG,,C06002 + C00010 + C00003 => C00100 + C00011 + C00004 + C00080
R00935,reverse,KEGG,,C00100 + C00011 + C00004 + C00080 => C06002 + C00010 + C00003
R00936,forward,KEGG,,C00101 + C00003 => C00415 + C00004 + C00080
R00936,reverse,KEGG,,C00415 + C00004 + C00080 => C00101 + C00003
R00937,forward,KEGG,,2C00003 + C00101 => 2C00004 + 2C00080 + C00504
R00937,reverse,KEGG,,2C00004 + 2C00080 + C00504 => 2C00003 + C00101
R00939,forward,KEGG,,C00101 + C00006 => C00415 + C00005 + C00080
R00939,reverse,KEGG,,C00415 + C00005 + C00080 => C00101 + C00006
R00940,forward,KEGG,,2C00006 + C00101 => 2C00005 + 2C00080 + C00504
R00940,reverse,KEGG,,2C00005 + 2C00080 + C00504 => 2C00006 + C00101
R00941,forward,KEGG,,C00234 + C00006 + C00001 => C00101 + C00011 + C00005 + C00080
R00941,reverse,KEGG,,C00101 + C00011 + C00005 + C00080 => C00234 + C00006 + C00001
R00942_v1,forward,KEGG (Modified),"Mg, M1",C00002 + C00101 + C00025 + Z00060 + Z00029 => C00008 + C00009 + C09332 + Z00060 + Z00029
R00943_v1,forward,KEGG (Modified),Mg,C00101 + C00058 + C00002 + Z00029 => C00008 + C00009 + C00234 + Z00029
R00943_v1,reverse,KEGG (Modified),Mg,C00008 + C00009 + C00234 + Z00029 => C00101 + C00058 + C00002 + Z00029
R00944_v1,forward,KEGG (Modified),NAD/NADP,C00234 + C00001 + Z00032 => C00058 + C00101 + Z00032
R00944_v1,reverse,KEGG (Modified),NAD/NADP,C00058 + C00101 + Z00032 => C00234 + C00001 + Z00032
R00945_v1,forward,KEGG (Modified),PLP,C00143 + C00037 + C00001 + Z00035 => C00101 + C00065 + Z00035
R00945_v1,reverse,KEGG (Modified),PLP,C00101 + C00065 + Z00035 => C00143 + C00037 + C00001 + Z00035
R00946_v1,forward,KEGG (Modified),Flavodoxin,C00440 + C00155 + Z00018 => C00101 + C00073 + Z00018
R00946_v1,reverse,KEGG (Modified),Flavodoxin,C00101 + C00073 + Z00018 => C00440 + C00155 + Z00018
R00946_v2,forward,KEGG (Modified),NAD/NADP,C00440 + C00155 + Z00032 => C00101 + C00073 + Z00032
R00946_v2,reverse,KEGG (Modified),NAD/NADP,C00101 + C00073 + Z00032 => C00440 + C00155 + Z00032
R00947_v1,forward,KEGG (Modified),Zn,C00103 + C00001 + Z00054 => C00267 + C00009 + Z00054
R00947_v1,reverse,KEGG (Modified),Zn,C00267 + C00009 + Z00054 => C00103 + C00001 + Z00054
R00948,forward,KEGG,,C00002 + C00103 => C00013 + C00498
R00948,reverse,KEGG,,C00013 + C00498 => C00002 + C00103
R00949,forward,KEGG,,C00002 + C00103 => C00008 + C01231
R00949,reverse,KEGG,,C00008 + C01231 => C00002 + C00103
R00951_v1,forward,KEGG (Modified),Mn,C00498 + C00001 + Z00030 => C00020 + C00103 + Z00030
R00952,forward,KEGG,,C00185 + C00009 => C00103 + C00031
R00952,reverse,KEGG,,C00103 + C00031 => C00185 + C00009
R00953,forward,KEGG,,C02048 + C00009 => C00031 + C00103
R00953,reverse,KEGG,,C00031 + C00103 => C02048 + C00009
R00954,forward,KEGG,,C00044 + C00103 => C00013 + C00394
R00954,reverse,KEGG,,C00013 + C00394 => C00044 + C00103
R00955_v1,forward,KEGG (Modified),Zn,C00029 + C00446 + Z00054 => C00103 + C00052 + Z00054
R00955_v1,reverse,KEGG (Modified),Zn,C00103 + C00052 + Z00054 => C00029 + C00446 + Z00054
R00956_v1,forward,KEGG (Modified),Mg,C00063 + C00103 + Z00029 => C00013 + C00501 + Z00029
R00956_v1,reverse,KEGG (Modified),Mg,C00013 + C00501 + Z00029 => C00063 + C00103 + Z00029
R00957,forward,KEGG,,2C00103 + C00001 => 2C00009 + C00208
R00957,reverse,KEGG,,2C00009 + C00208 => 2C00103 + C00001
R00959_v1,forward,KEGG (Modified),Mg,C00103 + Z00029 => C00668 + Z00029
R00959_v1,reverse,KEGG (Modified),Mg,C00668 + Z00029 => C00103 + Z00029
R00959_v2,forward,KEGG (Modified),Zn,C00103 + Z00054 => C00668 + Z00054
R00959_v2,reverse,KEGG (Modified),Zn,C00668 + Z00054 => C00103 + Z00054
R00960,forward,KEGG,,2C00103 => C01231 + C00031
R00960,reverse,KEGG,,C01231 + C00031 => 2C00103
R00961_v1,forward,KEGG (Modified),"Mn, Ca",C00104 + C00001 + Z00055 + C00104 + C00001 + Z00030 => C00130 + C00009 + Z00055 + C00130 + C00009 + Z00030
R00961_v1,reverse,KEGG (Modified),"Mn, Ca",C00130 + C00009 + Z00055 + C00130 + C00009 + Z00030 => C00104 + C00001 + Z00055 + C00104 + C00001 + Z00030
R00961_v2,forward,KEGG (Modified),"Mg, Ca",C00104 + C00001 + Z00029 + C00104 + C00001 + Z00055 => C00130 + C00009 + Z00029 + C00130 + C00009 + Z00055
R00961_v2,reverse,KEGG (Modified),"Mg, Ca",C00130 + C00009 + Z00029 + C00130 + C00009 + Z00055 => C00104 + C00001 + Z00029 + C00104 + C00001 + Z00055
R00961_v3,forward,KEGG (Modified),Mg,C00104 + C00001 + Z00029 => C00130 + C00009 + Z00029
R00961_v3,reverse,KEGG (Modified),Mg,C00130 + C00009 + Z00029 => C00104 + C00001 + Z00029
R00961_v4,forward,KEGG (Modified),M2,C00104 + C00001 + Z00069 => C00130 + C00009 + Z00069
R00961_v4,reverse,KEGG (Modified),M2,C00130 + C00009 + Z00069 => C00104 + C00001 + Z00069
R00962,forward,KEGG,,C00081 + C00475 => C00104 + C00055
R00962,reverse,KEGG,,C00104 + C00055 => C00081 + C00475
R00963_v1,forward,KEGG (Modified),Zn,C00105 + C00001 + Z00054 => C00299 + C00009 + Z00054
R00963_v1,reverse,KEGG (Modified),Zn,C00299 + C00009 + Z00054 => C00105 + C00001 + Z00054
R00963_v2,forward,KEGG (Modified),Co,C00105 + C00001 + Z00006 => C00299 + C00009 + Z00006
R00963_v2,reverse,KEGG (Modified),Co,C00299 + C00009 + Z00006 => C00105 + C00001 + Z00006
R00963_v3,forward,KEGG (Modified),M2,C00105 + C00001 + Z00069 => C00299 + C00009 + Z00069
R00963_v3,reverse,KEGG (Modified),M2,C00299 + C00009 + Z00069 => C00105 + C00001 + Z00069
R00963_v4,forward,KEGG (Modified),Mn,C00105 + C00001 + Z00030 => C00299 + C00009 + Z00030
R00963_v4,reverse,KEGG (Modified),Mn,C00299 + C00009 + Z00030 => C00105 + C00001 + Z00030
R00963_v5,forward,KEGG (Modified),Mg,C00105 + C00001 + Z00029 => C00299 + C00009 + Z00029
R00963_v5,reverse,KEGG (Modified),Mg,C00299 + C00009 + Z00029 => C00105 + C00001 + Z00029
R00964_v1,forward,KEGG (Modified),"Mg, Mn",C00002 + C00299 + Z00029 + C00002 + C00299 + Z00030 => C00008 + C00105 + Z00029 + C00008 + C00105 + Z00030
R00964_v1,reverse,KEGG (Modified),"Mg, Mn",C00008 + C00105 + Z00029 + C00008 + C00105 + Z00030 => C00002 + C00299 + Z00029 + C00002 + C00299 + Z00030
R00964_v2,forward,KEGG (Modified),Mg,C00002 + C00299 + Z00029 => C00008 + C00105 + Z00029
R00964_v2,reverse,KEGG (Modified),Mg,C00008 + C00105 + Z00029 => C00002 + C00299 + Z00029
R00965_v1,forward,KEGG (Modified),Mg,C01103 + Z00029 => C00105 + C00011 + Z00029
R00965_v1,reverse,KEGG (Modified),Mg,C00105 + C00011 + Z00029 => C01103 + Z00029
R00966_v1,forward,KEGG (Modified),Mg,C00105 + C00013 + Z00029 => C00106 + C00119 + Z00029
R00966_v1,reverse,KEGG (Modified),Mg,C00106 + C00119 + Z00029 => C00105 + C00013 + Z00029
R00967,forward,KEGG,,C00075 + C00299 => C00015 + C00105
R00967,reverse,KEGG,,C00015 + C00105 => C00075 + C00299
R00968_v1,forward,KEGG (Modified),Mg,C00044 + C00299 + Z00029 => C00035 + C00105 + Z00029
R00968_v1,reverse,KEGG (Modified),Mg,C00035 + C00105 + Z00029 => C00044 + C00299 + Z00029
R00969_v1,forward,KEGG (Modified),Ni,C06198 + C00001 + Z00034 => C00075 + C00105 + Z00034
R00969_v2,forward,KEGG (Modified),Mn,C06198 + C00001 + Z00030 => C00075 + C00105 + Z00030
R00969_v3,forward,KEGG (Modified),M2,C06198 + C00001 + Z00069 => C00075 + C00105 + Z00069
R00970,forward,KEGG,,C00081 + C00299 => C00104 + C00105
R00970,reverse,KEGG,,C00104 + C00105 => C00081 + C00299
R00973,forward,KEGG,,C03030 => C00106 + C00011
R00973,reverse,KEGG,,C00106 + C00011 => C03030
R00974_v1,forward,KEGG (Modified),Zn,C00380 + C00001 + Z00054 => C00106 + C00014 + Z00054
R00975_v1,forward,KEGG (Modified),"FMN, Flavoprotein",C00429 + C00007 + Z00014 + Z00019 => C00106 + C00027 + Z00014 + Z00019
R00976,forward,KEGG,,C00106 + C00028 + C00001 => C00813 + C00030
R00977_v1,forward,KEGG (Modified),"Flavoprotein, Generic FeS",C00429 + C00003 + Z00063 + Z00019 => C00106 + C00004 + C00080 + Z00063 + Z00019
R00977_v1,reverse,KEGG (Modified),"Flavoprotein, Generic FeS",C00106 + C00004 + C00080 + Z00063 + Z00019 => C00429 + C00003 + Z00063 + Z00019
R00977_v2,forward,KEGG (Modified),"4Fe4S, Flavoprotein",C00429 + C00003 + Z00002 + Z00019 => C00106 + C00004 + C00080 + Z00002 + Z00019
R00977_v2,reverse,KEGG (Modified),"4Fe4S, Flavoprotein",C00106 + C00004 + C00080 + Z00002 + Z00019 => C00429 + C00003 + Z00002 + Z00019
R00978_v1,forward,KEGG (Modified),"4Fe4S, FAD, FMN",C00429 + C00006 + Z00002 + Z00014 + Z00013 => C00106 + C00005 + C00080 + Z00002 + Z00014 + Z00013
R00978_v1,reverse,KEGG (Modified),"4Fe4S, FAD, FMN",C00106 + C00005 + C00080 + Z00002 + Z00014 + Z00013 => C00429 + C00006 + Z00002 + Z00014 + Z00013
R00980_v1,forward,KEGG (Modified),Fe,C00108 + C00007 + C00005 + C00080 + Z00015 => C00196 + C00014 + C00006 + Z00015
R00980_v2,forward,KEGG (Modified),FAD,C00108 + C00007 + C00005 + C00080 + Z00013 => C00196 + C00014 + C00006 + Z00013
R00982,forward,KEGG,,C00002 + C00108 + C00010 => C00020 + C00013 + C02247
R00982,reverse,KEGG,,C00020 + C00013 + C02247 => C00002 + C00108 + C00010
R00983,forward,KEGG,,C02775 + C00007 => C00108 + C00011
R00984,forward,KEGG,,C00019 + C00108 => C00021 + C03005
R00984,reverse,KEGG,,C00021 + C03005 => C00019 + C00108
R00985_v1,forward,KEGG (Modified),Mg,C00251 + C00014 + Z00029 => C00108 + C00022 + C00001 + Z00029
R00986_v1,forward,KEGG (Modified),Mg,C00251 + C00064 + Z00029 => C00108 + C00022 + C00025 + Z00029
R00987_v1,forward,KEGG (Modified),PLP,C00328 + C00001 + Z00035 => C00108 + C00041 + Z00035
R00988_v1,forward,KEGG (Modified),"PLP, Zn",C05653 + C00001 + Z00035 + Z00054 => C00058 + C00108 + Z00035 + Z00054
R00989,forward,KEGG,,C00083 + C00108 => C00010 + C03147
R00989,reverse,KEGG,,C00010 + C03147 => C00083 + C00108
R00990_v1,forward,KEGG (Modified),PLP,C00108 + Z00035 => C00292 + C00011 + Z00035
R00990_v1,reverse,KEGG (Modified),PLP,C00292 + C00011 + Z00035 => C00108 + Z00035
R00991,forward,KEGG,,C00108 => C05835
R00993,forward,KEGG,,C00109 + C00009 + C00007 => C02876 + C00011 + C00027
R00994_v1,forward,KEGG (Modified),Mn,C00109 + C00011 + C00004 + C00080 + Z00030 => C06032 + C00003 + Z00030
R00994_v1,reverse,KEGG (Modified),Mn,C06032 + C00003 + Z00030 => C00109 + C00011 + C00004 + C00080 + Z00030
R00995_v1,forward,KEGG (Modified),Mn,C06030 + Z00030 => C00109 + C00011 + Z00030
R00995_v1,reverse,KEGG (Modified),Mn,C00109 + C00011 + Z00030 => C06030 + Z00030
R00995_v2,forward,KEGG (Modified),Mg,C06030 + Z00029 => C00109 + C00011 + Z00029
R00995_v2,reverse,KEGG (Modified),Mg,C00109 + C00011 + Z00029 => C06030 + Z00029
R00995_v3,forward,KEGG (Modified),M2,C06030 + Z00069 => C00109 + C00011 + Z00069
R00995_v3,reverse,KEGG (Modified),M2,C00109 + C00011 + Z00069 => C06030 + Z00069
R00996_v1,forward,KEGG (Modified),Generic FeS,C00188 + Z00063 => C00109 + C00014 + Z00063
R00996_v1,reverse,KEGG (Modified),Generic FeS,C00109 + C00014 + Z00063 => C00188 + Z00063
R00996_v2,forward,KEGG (Modified),PLP,C00188 + Z00035 => C00109 + C00014 + Z00035
R00996_v2,reverse,KEGG (Modified),PLP,C00109 + C00014 + Z00035 => C00188 + Z00035
R00997_v1,forward,KEGG (Modified),PLP,C01234 + C00001 + Z00035 => C00109 + C00014 + Z00035
R00997_v1,reverse,KEGG (Modified),PLP,C00109 + C00014 + Z00035 => C01234 + C00001 + Z00035
R00998,forward,KEGG,,C02488 + C00010 => C00024 + C00001 + C00109
R00998,reverse,KEGG,,C00024 + C00001 + C00109 => C02488 + C00010
R00999_v1,forward,KEGG (Modified),PLP,C01118 + C00001 + Z00035 => C00109 + C00042 + C00014 + Z00035
R01000,forward,KEGG,,C05984 + C00003 => C00109 + C00004 + C00080
R01000,reverse,KEGG,,C00109 + C00004 + C00080 => C05984 + C00003
R01001_v1,forward,KEGG (Modified),PLP,C02291 + C00001 + Z00035 => C00097 + C00014 + C00109 + Z00035
R01001_v1,reverse,KEGG (Modified),PLP,C00097 + C00014 + C00109 + Z00035 => C02291 + C00001 + Z00035
R01003,forward,KEGG,,C00110 + C00001 => C00381 + C00009
R01003,reverse,KEGG,,C00381 + C00009 => C00110 + C00001
R01004,forward,KEGG,,C00621 + C00001 => C00110 + C00009
R01005,reverse,KEGG,,C00015 + C01246 => C00029 + C00110
R01006,forward,KEGG,,C01246 + C00001 => C00110 + C00031
R01007_v1,forward,KEGG (Modified),Mg,C00043 + C00110 + Z00029 => C00105 + C04500 + Z00029
R01007_v1,reverse,KEGG (Modified),Mg,C00105 + C04500 + Z00029 => C00043 + C00110 + Z00029
R01008,reverse,KEGG,,C00015 + C04678 => C00043 + C21212
R01009,reverse,KEGG,,C00035 + C03862 => C00096 + C00110
R01010_v1,forward,KEGG (Modified),"Fe, Mg",C00111 + C00001 + Z00029 + C00111 + C00001 + Z00015 => C00184 + C00009 + Z00029 + C00184 + C00009 + Z00015
R01010_v1,reverse,KEGG (Modified),"Fe, Mg",C00184 + C00009 + Z00029 + C00184 + C00009 + Z00015 => C00111 + C00001 + Z00029 + C00111 + C00001 + Z00015
R01010_v2,forward,KEGG (Modified),Cu,C00111 + C00001 + Z00070 => C00184 + C00009 + Z00070
R01010_v2,reverse,KEGG (Modified),Cu,C00184 + C00009 + Z00070 => C00111 + C00001 + Z00070
R01010_v3,forward,KEGG (Modified),Mg,C00111 + C00001 + Z00029 => C00184 + C00009 + Z00029
R01010_v3,reverse,KEGG (Modified),Mg,C00184 + C00009 + Z00029 => C00111 + C00001 + Z00029
R01010_v4,forward,KEGG (Modified),Zn,C00111 + C00001 + Z00054 => C00184 + C00009 + Z00054
R01010_v4,reverse,KEGG (Modified),Zn,C00184 + C00009 + Z00054 => C00111 + C00001 + Z00054
R01011_v1,forward,KEGG (Modified),Ca,C00002 + C00184 + Z00055 => C00008 + C00111 + Z00055
R01011_v1,reverse,KEGG (Modified),Ca,C00008 + C00111 + Z00055 => C00002 + C00184 + Z00055
R01012_v1,forward,KEGG (Modified),Mg,C00074 + C00184 + Z00029 => C00022 + C00111 + Z00029
R01012_v1,reverse,KEGG (Modified),Mg,C00022 + C00111 + Z00029 => C00074 + C00184 + Z00029
R01013,reverse,KEGG,,C00010 + C03372 => C00040 + C00111
R01014,forward,KEGG,,C03394 => C00111 + C00067
R01014,reverse,KEGG,,C00111 + C00067 => C03394
R01015,forward,KEGG,,C00118 => C00111
R01015,reverse,KEGG,,C00111 => C00118
R01016,forward,KEGG,,C00111 => C00546 + C00009
R01018,forward,KEGG,,C00063 + C00381 => C00112 + C00110
R01018,reverse,KEGG,,C00112 + C00110 => C00063 + C00381
R01019_v1,forward,KEGG (Modified),"Heme, PQQ",C00113 + C00084 + C00001 + Z00025 + Z00036 => C01359 + C00033 + Z00025 + Z00036
R01021_v1,forward,KEGG (Modified),Mg,C00002 + C00114 + Z00029 => C00008 + C00588 + Z00029
R01021_v1,reverse,KEGG (Modified),Mg,C00008 + C00588 + Z00029 => C00002 + C00114 + Z00029
R01022_v1,forward,KEGG (Modified),"FAD, Flavoprotein",C00114 + C00007 + Z00019 + Z00013 => C00576 + C00027 + Z00019 + Z00013
R01023,forward,KEGG,,C00024 + C00114 => C00010 + C01996
R01023,reverse,KEGG,,C00010 + C01996 => C00024 + C00114
R01025_v1,forward,KEGG (Modified),PQQ,C00114 + C00028 + Z00036 => C00576 + C00030 + Z00036
R01025_v2,forward,KEGG (Modified),Generic quinone,C00114 + C00028 + Z00022 => C00576 + C00030 + Z00022
R01025_v3,forward,KEGG (Modified),Ubiquinone,C00114 + C00028 + Z00049 => C00576 + C00030 + Z00049
R01025_v4,forward,KEGG (Modified),FAD,C00114 + C00028 + Z00013 => C00576 + C00030 + Z00013
R01026,forward,KEGG,,C01996 + C00001 => C00114 + C00033
R01026,reverse,KEGG,,C00114 + C00033 => C01996 + C00001
R01027,forward,KEGG,,C00053 + C00114 => C00054 + C00919
R01028_v1,reverse,KEGG (Modified),Ca,C00114 + C00059 + Z00055 => C00919 + C00001 + Z00055
R01029,reverse,KEGG,,C00114 + C00060 => C01777 + C00001
R01030_v1,forward,KEGG (Modified),Mn,C00670 + C00001 + Z00030 => C00114 + C00093 + Z00030
R01030_v2,forward,KEGG (Modified),Ca,C00670 + C00001 + Z00055 => C00114 + C00093 + Z00055
R01030_v3,forward,KEGG (Modified),Mg,C00670 + C00001 + Z00029 => C00114 + C00093 + Z00029
R01031_v1,forward,KEGG (Modified),PLP,C02634 + C00001 + Z00035 => C00022 + C01327 + C00014 + Z00035
R01032,reverse,KEGG,,C02635 + C00001 => C00698 + C00022 + C00014
R01033_v1,forward,KEGG (Modified),"2Fe2S, FAD, Fe",C02357 + C00007 + C00004 + Z00015 + Z00013 + Z00001 => C00698 + C00090 + C00003 + C00011 + Z00015 + Z00013 + Z00001
R01034_v1,forward,KEGG (Modified),Mn,C00116 + C00003 + Z00030 => C00184 + C00004 + C00080 + Z00030
R01034_v1,reverse,KEGG (Modified),Mn,C00184 + C00004 + C00080 + Z00030 => C00116 + C00003 + Z00030
R01034_v2,forward,KEGG (Modified),Zn,C00116 + C00003 + Z00054 => C00184 + C00004 + C00080 + Z00054
R01034_v2,reverse,KEGG (Modified),Zn,C00184 + C00004 + C00080 + Z00054 => C00116 + C00003 + Z00054
R01036,forward,KEGG,,C00116 + C00003 => C00577 + C00004 + C00080
R01036,reverse,KEGG,,C00577 + C00004 + C00080 => C00116 + C00003
R01039,forward,KEGG,,C00116 + C00006 => C00184 + C00005 + C00080
R01039,reverse,KEGG,,C00184 + C00005 + C00080 => C00116 + C00006
R01041_v1,forward,KEGG (Modified),Zn,C00116 + C00006 + Z00054 => C00577 + C00005 + C00080 + Z00054
R01041_v1,reverse,KEGG (Modified),Zn,C00577 + C00005 + C00080 + Z00054 => C00116 + C00006 + Z00054
R01043,forward,KEGG,,C02979 + C00001 => C00116 + C00009
R01043,reverse,KEGG,,C00116 + C00009 => C02979 + C00001
R01044,forward,KEGG,,C00013 + C00116 => C00009 + C00623
R01044,reverse,KEGG,,C00009 + C00623 => C00013 + C00116
R01045_v1,forward,KEGG (Modified),PQQ,C00116 + C00028 + Z00036 => C00184 + C00030 + Z00036
R01045_v2,forward,KEGG (Modified),Generic quinone,C00116 + C00028 + Z00022 => C00184 + C00030 + Z00022
R01045_v3,forward,KEGG (Modified),Ubiquinone,C00116 + C00028 + Z00049 => C00184 + C00030 + Z00049
R01047_v1,forward,KEGG (Modified),Glycyl radical,C00116 + Z00052 => C00969 + C00001 + Z00052
R01047_v1,reverse,KEGG (Modified),Glycyl radical,C00969 + C00001 + Z00052 => C00116 + Z00052
R01047_v2,forward,KEGG (Modified),Cobalamin,C00116 + Z00009 => C00969 + C00001 + Z00009
R01047_v2,reverse,KEGG (Modified),Cobalamin,C00969 + C00001 + Z00009 => C00116 + Z00009
R01049_v1,forward,KEGG (Modified),Mg,C00002 + C00117 + Z00029 => C00020 + C00119 + Z00029
R01049_v1,reverse,KEGG (Modified),Mg,C00020 + C00119 + Z00029 => C00002 + C00117 + Z00029
R01050,forward,KEGG,,C00002 + C00117 => C00008 + C01151
R01050,reverse,KEGG,,C00008 + C01151 => C00002 + C00117
R01051_v1,forward,KEGG (Modified),Mn,C00002 + C00121 + Z00030 => C00008 + C00117 + Z00030
R01051_v1,reverse,KEGG (Modified),Mn,C00008 + C00117 + Z00030 => C00002 + C00121 + Z00030
R01051_v2,forward,KEGG (Modified),Mg,C00002 + C00121 + Z00029 => C00008 + C00117 + Z00029
R01051_v2,reverse,KEGG (Modified),Mg,C00008 + C00117 + Z00029 => C00002 + C00121 + Z00029
R01052,forward,KEGG,,C00008 + C00117 => C00009 + C00301
R01052,reverse,KEGG,,C00009 + C00301 => C00008 + C00117
R01053,forward,KEGG,,C00002 + C00117 + C00014 => C00008 + C00009 + C03090
R01053,reverse,KEGG,,C00008 + C00009 + C03090 => C00002 + C00117 + C00014
R01053_gATP,forward,KEGG,,C00117 + C00014 + C00013 => C00009 + C03090 + C00009
R01053_gATP,reverse,KEGG,,C00009 + C03090 + C00009 => C00117 + C00014 + C00013
R01054_v1,forward,KEGG (Modified),Mn,C00301 + C00001 + Z00030 + C00301 + C00001 + Z00030 + C00301 + C00001 + Z00030 => C00020 + C00117 + Z00030 + C00020 + C00117 + Z00030 + C00020 + C00117 + Z00030
R01054_v1,reverse,KEGG (Modified),Mn,C00020 + C00117 + Z00030 + C00020 + C00117 + Z00030 + C00020 + C00117 + Z00030 => C00301 + C00001 + Z00030 + C00301 + C00001 + Z00030 + C00301 + C00001 + Z00030
R01054_v2,forward,KEGG (Modified),Mg,C00301 + C00001 + Z00029 => C00020 + C00117 + Z00029
R01054_v2,reverse,KEGG (Modified),Mg,C00020 + C00117 + Z00029 => C00301 + C00001 + Z00029
R01055_v1,forward,KEGG (Modified),Co,C00106 + C00117 + Z00006 => C01168 + C00001 + Z00006
R01055_v1,reverse,KEGG (Modified),Co,C01168 + C00001 + Z00006 => C00106 + C00117 + Z00006
R01055_v2,forward,KEGG (Modified),Mn,C00106 + C00117 + Z00030 => C01168 + C00001 + Z00030
R01055_v2,reverse,KEGG (Modified),Mn,C01168 + C00001 + Z00030 => C00106 + C00117 + Z00030
R01056,forward,KEGG,,C00117 => C00199
R01056,reverse,KEGG,,C00199 => C00117
R01057_v1,forward,KEGG (Modified),"Mg, Mn",C00620 + Z00029 + C00620 + Z00030 => C00117 + Z00029 + C00117 + Z00030
R01057_v1,reverse,KEGG (Modified),"Mg, Mn",C00117 + Z00029 + C00117 + Z00030 => C00620 + Z00029 + C00620 + Z00030
R01057_v2,forward,KEGG (Modified),"Mg, Zn",C00620 + Z00054 + C00620 + Z00029 => C00117 + Z00054 + C00117 + Z00029
R01057_v2,reverse,KEGG (Modified),"Mg, Zn",C00117 + Z00054 + C00117 + Z00029 => C00620 + Z00054 + C00620 + Z00029
R01058,forward,KEGG,,C00118 + C00006 + C00001 => C00197 + C00005 + C00080
R01058,reverse,KEGG,,C00197 + C00005 + C00080 => C00118 + C00006 + C00001
R01059_v1,forward,KEGG (Modified),"Co, Mg",C00002 + C00577 + Z00006 + Z00029 => C00008 + C00118 + Z00006 + Z00029
R01059_v1,reverse,KEGG (Modified),"Co, Mg",C00008 + C00118 + Z00006 + Z00029 => C00002 + C00577 + Z00006 + Z00029
R01061,forward,KEGG,,C00118 + C00009 + C00003 => C00236 + C00004 + C00080
R01061,reverse,KEGG,,C00236 + C00004 + C00080 => C00118 + C00009 + C00003
R01063,forward,KEGG,,C00118 + C00009 + C00006 => C00236 + C00005 + C00080
R01063,reverse,KEGG,,C00236 + C00005 + C00080 => C00118 + C00009 + C00006
R01064,forward,KEGG,,C01286 => C00022 + C00118
R01064,reverse,KEGG,,C00022 + C00118 => C01286
R01066,forward,KEGG,,C00673 => C00118 + C00084
R01066,reverse,KEGG,,C00118 + C00084 => C00673
R01067_v1,forward,KEGG (Modified),"Thiamine diphosphate, Ca",C00085 + C00118 + Z00055 + Z00047 => C00279 + C00231 + Z00055 + Z00047
R01067_v1,reverse,KEGG (Modified),"Thiamine diphosphate, Ca",C00279 + C00231 + Z00055 + Z00047 => C00085 + C00118 + Z00055 + Z00047
R01067_v2,forward,KEGG (Modified),"Mg, Thiamine diphosphate",C00085 + C00118 + Z00029 + Z00047 => C00279 + C00231 + Z00029 + Z00047
R01067_v2,reverse,KEGG (Modified),"Mg, Thiamine diphosphate",C00279 + C00231 + Z00029 + Z00047 => C00085 + C00118 + Z00029 + Z00047
R01068_v1,forward,KEGG (Modified),Zn,C00354 + Z00054 => C00111 + C00118 + Z00054
R01068_v1,reverse,KEGG (Modified),Zn,C00111 + C00118 + Z00054 => C00354 + Z00054
R01069_v1,forward,KEGG (Modified),M2,C03785 + Z00069 => C00111 + C00118 + Z00069
R01069_v1,reverse,KEGG (Modified),M2,C00111 + C00118 + Z00069 => C03785 + Z00069
