reaction,direction,reaction_def
R04027_v2,forward,C02723 + C00007 + C00080 + Z00070 + Z00061 => C06178 + C00027 + C00014 + Z00070 + Z00061
R04027_v3,forward,C02723 + C00007 + C00080 + Z00035 + Z00022 + Z00030 + Z00054 => C06178 + C00027 + C00014 + Z00035 + Z00022 + Z00030 + Z00054
R04027_v4,forward,C02723 + C00007 + C00080 + Z00070 + Z00035 + Z00022 => C06178 + C00027 + C00014 + Z00070 + Z00035 + Z00022
R04028_v1,forward,C03846 + C00026 + Z00035 => C03682 + C00025 + Z00035
R04028_v1,reverse,C03682 + C00025 + Z00035 => C03846 + C00026 + Z00035
R04029_v1,forward,C02727 + C00026 + Z00035 => C05548 + C00025 + Z00035
R04029_v1,reverse,C05548 + C00025 + Z00035 => C02727 + C00026 + Z00035
R04030,forward,C00002 + C02730 + C00010 => C00020 + C00013 + C03160
R04030,reverse,C00020 + C00013 + C03160 => C00002 + C02730 + C00010
R04031_v1,reverse,C05817 + Z00047 + Z00030 => C02730 + C00001 + Z00047 + Z00030
R04031_v2,reverse,C05817 + Z00069 + Z00047 => C02730 + C00001 + Z00069 + Z00047
R04031_v3,reverse,C05817 + Z00047 + Z00029 => C02730 + C00001 + Z00047 + Z00029
R04032,forward,C02732 + C00007 => C03529
R04033,forward,C00019 + C02735 => C00021 + C03711
R04033,reverse,C00021 + C03711 => C00019 + C02735
R04034_v1,forward,C02737 + C00001 + Z00055 => C05974 + C00162 + Z00055
R04035,forward,C02739 + C00001 => C02741 + C00013
R04036_v1,forward,C02740 + C00007 + C00002 + Z00029 => C03797 + C00205 + C00020 + C00013 + C00011 + Z00029
R04037_v1,forward,C02741 + C00001 + Z00054 => C04896 + Z00054
R04037_v1,reverse,C04896 + Z00054 => C02741 + C00001 + Z00054
R04038,forward,C00235 + C00020 => C00013 + C04713
R04038,reverse,C00013 + C04713 => C00235 + C00020
R04039,forward,C03544 + C00127 => 2C00051 + C02756
R04039,reverse,2C00051 + C02756 => C03544 + C00127
R04040,reverse,C04435 => C02759
R04041,forward,C00029 + C02768 => C00015 + C04508
R04041,reverse,C00015 + C04508 => C00029 + C02768
R04042,reverse,C00055 + C02768 => C00513 + C02768
R04043,forward,C03820 + C00001 => C02773 + C00033
R04043,reverse,C02773 + C00033 => C03820 + C00001
R04046,reverse,C03954 + C00004 + C00080 => C02778 + C00003 + C00001
R04047,reverse,C03954 + C00005 + C00080 => C02778 + C00006 + C00001
R04048,forward,C02779 + C00007 => C06440 + C00027
R04049,forward,C02782 + C00003 => C03926 + C00004 + C00080
R04049,reverse,C03926 + C00004 + C00080 => C02782 + C00003
R04050,forward,C00083 + C02791 => C00010 + C04205
R04050,reverse,C00010 + C04205 => C00083 + C02791
R04051,forward,C02798 + C00025 => C05672 + C00026
R04051,reverse,C05672 + C00026 => C02798 + C00025
R04053_v1,forward,C02798 + Z00047 + Z00029 + Z00030 => C03167 + C00011 + Z00047 + Z00029 + Z00030
R04053_v1,reverse,C03167 + C00011 + Z00047 + Z00029 + Z00030 => C02798 + Z00047 + Z00029 + Z00030
R04053_v2,forward,C02798 + Z00047 + Z00055 + Z00029 => C03167 + C00011 + Z00047 + Z00055 + Z00029
R04053_v2,reverse,C03167 + C00011 + Z00047 + Z00055 + Z00029 => C02798 + Z00047 + Z00055 + Z00029
R04053_v3,forward,C02798 + Z00069 + Z00047 => C03167 + C00011 + Z00069 + Z00047
R04053_v3,reverse,C03167 + C00011 + Z00069 + Z00047 => C02798 + Z00069 + Z00047
R04055,forward,C00422 + C02945 => C00165 + C03587
R04056,forward,C03357 + C00001 => C00033 + C02801
R04056,reverse,C00033 + C02801 => C03357 + C00001
R04057,forward,C00024 + C02804 => C00033 + C03237
R04057,reverse,C00033 + C03237 => C00024 + C02804
R04058,reverse,C02805 + C00014 => C02986
R04059,forward,2C00006 + C04167 => 2C00005 + 2C00080 + C02807
R04059,reverse,2C00005 + 2C00080 + C02807 => 2C00006 + C04167
R04060_v1,forward,C02811 + C00007 + C00005 + C00080 + Z00013 => C03206 + C00006 + C00001 + Z00013
R04061_v1,forward,C02814 + C00007 + Z00015 => C03676 + Z00015
R04062,forward,C00019 + C02816 => C00021 + C03941
R04063,forward,C02825 + C00007 => C03887 + C00205 + C00011
R04065,forward,C05130 + C00003 + C00001 => C02835 + C00004 + C00080
R04065,reverse,C02835 + C00004 + C00080 => C05130 + C00003 + C00001
R04066_v1,forward,C02835 + C00007 + C00004 + C00080 + Z00025 + Z00019 + Z00013 => C05133 + C00003 + C00001 + Z00025 + Z00019 + Z00013
R04068,forward,C00002 + C02835 + C00119 + C00001 => C00008 + C00009 + C04437 + C00013
R04068,reverse,C00008 + C00009 + C04437 + C00013 => C00002 + C02835 + C00119 + C00001
R04070,forward,C03625 + C00001 => C02858 + C00069
R04071,forward,C00029 + C02860 => C00015 + C04422
R04072,forward,C03862 + C02189 => C00110 + C02863
R04073_v1,forward,C02871 + C00026 + C00007 + Z00042 + Z00015 => C03957 + C00042 + C00011 + Z00042 + Z00015
R04074,forward,C00003 + C02872 => C00153 + C04339
R04076,forward,C04261 + C00247 => C00615 + C02888
R04076,reverse,C00615 + C02888 => C04261 + C00247
R04077,forward,C00019 + C04118 => C00021 + C02890
R04077,reverse,C00021 + C02890 => C00019 + C04118
R04078,forward,C02894 + C00007 => C03888 + C00205 + C00011
R04080_v1,forward,C02899 + C00028 + Z00019 + Z00013 => C03032 + C00030 + Z00019 + Z00013
R04081,forward,C00325 + C02900 => C00035 + C04648
R04082,forward,C00096 + C02905 => C00035 + C04511
R04084_v1,forward,C04043 + C03758 + Z00015 => C02916 + C00001 + Z00015
R04084_v1,reverse,C02916 + C00001 + Z00015 => C04043 + C03758 + Z00015
R04085_v1,forward,C02918 + C00007 + C00001 + Z00032 + Z00013 + Z00031 + Z00064 + Z00001 => C05843 + C00027 + C00080 + Z00032 + Z00013 + Z00031 + Z00064 + Z00001
R04085_v2,forward,C02918 + C00007 + C00001 + Z00032 + Z00013 + Z00031 + Z00064 + Z00063 => C05843 + C00027 + C00080 + Z00032 + Z00013 + Z00031 + Z00064 + Z00063
R04088,forward,C04592 + C00003 => C02923 + C00004 + C00080
R04088,reverse,C02923 + C00004 + C00080 => C04592 + C00003
R04089_v1,forward,C02923 + C00007 + Z00015 => C06210 + Z00015
R04090_v1,reverse,C00051 + C02929 + Z00015 => C03899 + C00001 + Z00015
R04090_v2,reverse,C00051 + C02929 + Z00030 => C03899 + C00001 + Z00030
R04090_v3,reverse,C00051 + C02929 + Z00054 => C03899 + C00001 + Z00054
R04091_v1,forward,C00979 + C02932 + C00080 + Z00035 => C04446 + C00033 + Z00035
R04091_v1,reverse,C04446 + C00033 + Z00035 => C00979 + C02932 + C00080 + Z00035
R04092,forward,C02934 + C00016 => C06121 + C01352
R04092,reverse,C06121 + C01352 => C02934 + C00016
R04093,forward,C02937 => C02938 + C00001
R04093,reverse,C02938 + C00001 => C02937
R04094_v1,reverse,C02938 + C00031 + C00059 + C00087 + Z00004 => C05837 + C00001 + Z00004
R04095,forward,C02939 + C00016 => C03069 + C01352
R04095,reverse,C03069 + C01352 => C02939 + C00016
R04096,forward,C02939 + C04253 => C03069 + C04570
R04097_v1,forward,C02939 + C15973 + Z00013 => C00010 + C15975 + Z00013
R04099,forward,C03930 + C00006 => C02943 + C00005 + C00080
R04099,reverse,C02943 + C00005 + C00080 => C03930 + C00006
R04100,forward,C02944 => C03221
R04100,reverse,C03221 => C02944
R04101,forward,C06387 + C00001 => C02949 + C00698 + C00080
R04102_v1,forward,C03037 + C01847 + C00007 + Z00032 + Z00015 => C02952 + C00061 + C00001 + Z00032 + Z00015
R04103_v1,forward,C05551 + C00001 + Z00055 => C02954 + C07086 + Z00055
R04103_v1,reverse,C02954 + C07086 + Z00055 => C05551 + C00001 + Z00055
R04104_v1,forward,C00401 + Z00030 => C01490 + Z00030
R04104_v1,reverse,C01490 + Z00030 => C00401 + Z00030
R04105_v1,forward,C03864 + C00006 + Z00051 => C02975 + C00005 + C00080 + Z00051
R04105_v1,reverse,C02975 + C00005 + C00080 + Z00051 => C03864 + C00006 + Z00051
R04106,forward,C03865 + C00006 => C02975 + C00005 + C00080
R04106,reverse,C02975 + C00005 + C00080 => C03865 + C00006
R04108,forward,C00029 + C02980 => C00015 + C03503
R04108,reverse,C00015 + C03503 => C00029 + C02980
R04111,forward,C04261 + C00208 => C00615 + C02995
R04111,reverse,C00615 + C02995 => C04261 + C00208
R04112_v1,forward,C02999 + C00001 + Z00054 => C02713 + C00041 + Z00054
R04112_v1,reverse,C02713 + C00041 + Z00054 => C02999 + C00001 + Z00054
R04113,forward,C04303 + C00001 => C03001 + C02126
R04113,reverse,C03001 + C02126 => C04303 + C00001
R04115,forward,C04314 + C00003 => C03012 + C00004 + C00080
R04117_v1,forward,C03012 + C00007 + Z00015 => C06204 + Z00015
R04118,forward,C03956 + C00001 => C03018 + C00195
R04119,forward,C03634 + C00001 => C03019 + C00246
R04120,forward,C03023 + C00343 + C00001 => C03895 + C00342
R04120,reverse,C03895 + C00342 => C03023 + C00343 + C00001
R04123,forward,C03029 + C00003 + C00080 => C03179 + C00004
R04123,reverse,C03179 + C00004 => C03029 + C00003 + C00080
R04125_v1,reverse,C02972 + C00143 + C00014 + Z00035 => C01242 + C00101 + Z00035
R04126,forward,C00002 + C02773 => C00008 + C03968
R04126,reverse,C00008 + C03968 => C00002 + C02773
R04127,forward,C00029 + C03049 => C00015 + C04103
R04127,reverse,C00015 + C04103 => C00029 + C03049
R04130_v1,forward,C03056 + C00007 + C00004 + C00080 + Z00019 + Z00013 => C03458 + C00003 + C00001 + Z00019 + Z00013
R04131,forward,C03063 + C00001 => C05601
R04131,reverse,C05601 => C03063 + C00001
R04132,forward,C03063 + C00001 => C06201
R04132,reverse,C06201 => C03063 + C00001
R04133_v1,forward,C04052 + Z00029 => C03063 + C00011 + Z00029
R04133_v1,reverse,C03063 + C00011 + Z00029 => C04052 + Z00029
R04134,forward,C03063 => C05600
R04134,reverse,C05600 => C03063
R04135_v1,forward,C03066 + Z00035 => C03678 + C00011 + Z00035
R04135_v1,reverse,C03678 + C00011 + Z00035 => C03066 + Z00035
R04136,forward,C03351 + C00006 => C03067 + C00005 + C00080
R04136,reverse,C03067 + C00005 + C00080 => C03351 + C00006
R04137_v1,forward,C05998 + Z00032 => C03069 + C00001 + Z00032
R04137_v1,reverse,C03069 + C00001 + Z00032 => C05998 + Z00032
R04138_v1,forward,C00002 + C03069 + C00288 + Z00005 => C00008 + C00009 + C03231 + Z00005
R04138_v1,reverse,C00008 + C00009 + C03231 + Z00005 => C00002 + C03069 + C00288 + Z00005
R04139,forward,C03990 + C00003 => C03070 + C00004 + C00080
R04139,reverse,C03070 + C00004 + C00080 => C03990 + C00003
R04140,forward,2C00001 + C03679 => C03077 + C00014
R04140,reverse,C03077 + C00014 => 2C00001 + C03679
R04141,forward,C03837 + C00001 => C03081 + C00033
R04142,forward,C03087 + C00004 + C00080 + C00011 => C05548 + C00003 + C00001
R04142,reverse,C05548 + C00003 + C00001 => C03087 + C00004 + C00080 + C00011
R04143,forward,C00002 + C03089 => C00008 + C04188
R04143,reverse,C00008 + C04188 => C00002 + C03089
R04144_gATP_v1,forward,C03090 + C00037 + C00013 + Z00030 => C00009 + C03838 + C00009 + Z00030
R04144_gATP_v1,reverse,C00009 + C03838 + C00009 + Z00030 => C03090 + C00037 + C00013 + Z00030
R04144_v1,forward,C00002 + C03090 + C00037 + Z00030 => C00008 + C00009 + C03838 + Z00030
R04144_v1,reverse,C00008 + C00009 + C03838 + Z00030 => C00002 + C03090 + C00037 + Z00030
R04145,forward,C00019 + C03105 => C00021 + C04061
R04146,forward,C04018 + C00001 => C03106 + C00033
R04146,reverse,C03106 + C00033 => C04018 + C00001
R04147_v1,forward,C05557 + Z00035 => C06564 + Z00035
R04147_v1,reverse,C06564 + Z00035 => C05557 + Z00035
R04148,forward,C01185 + C03114 => C00253 + C04778 + C00080
R04148,reverse,C00253 + C04778 + C00080 => C01185 + C03114
R04149_v1,forward,C04195 + C00001 + Z00055 => C00416 + C03121 + Z00055
R04150,forward,C03160 => C03657 + C00010
R04151,forward,C04468 + C00003 => C03164 + C00004 + C00080
R04152_v1,forward,C03557 + C00022 + Z00035 => C03167 + C00041 + Z00035
R04152_v1,reverse,C03167 + C00041 + Z00035 => C03557 + C00022 + Z00035
R04153,forward,C03392 + C00155 => C03173 + C00073 + C00080
R04153,reverse,C03173 + C00073 + C00080 => C03392 + C00155
R04154_v1,forward,C03178 + Z00032 => C03314 + Z00032
R04156,forward,C03185 + C00001 => C03186 + C00009
R04157,forward,C00002 + C04025 + C00010 => C00020 + C00013 + C03188
R04157,reverse,C00020 + C00013 + C03188 => C00002 + C04025 + C00010
R04158_v1,forward,C00353 + C00623 + Z00029 => C00013 + C04590 + Z00029
R04158_v1,reverse,C00013 + C04590 + Z00029 => C00353 + C00623 + Z00029
R04159,forward,C03193 + C00045 => C00012 + C03363
R04159,reverse,C00012 + C03363 => C03193 + C00045
R04160,forward,C03198 + C00028 => C03590 + C00030
R04161_v1,forward,C03198 + Z00029 => C05343 + Z00029
R04161_v1,reverse,C05343 + Z00029 => C03198 + Z00029
R04162_v1,forward,C05977 + C00001 + Z00030 => C03201 + C00009 + Z00030
R04162_v2,forward,C05977 + C00001 + Z00029 => C03201 + C00009 + Z00029
R04163,forward,C05485 + C00003 => C03205 + C00004 + C00080
R04163,reverse,C03205 + C00004 + C00080 => C05485 + C00003
R04165,forward,C03205 => C04108
R04165,reverse,C04108 => C03205
R04166,forward,C03748 => C03207 + C00001
R04167,forward,C04234 + C00001 => C03215 + C00009
R04167,reverse,C03215 + C00009 => C04234 + C00001
R04168,forward,C02269 + C00701 => C02269 + C00701
R04168,reverse,C02269 + C00701 => C02269 + C00701
R04169,forward,C00019 + C03219 => C00021 + C03982
R04170_v1,forward,C05262 + Z00032 => C03221 + C00001 + Z00032
R04170_v1,reverse,C03221 + C00001 + Z00032 => C05262 + Z00032
R04171_v1,forward,C03227 + C00026 + Z00035 => C05645 + C00025 + Z00035
R04171_v1,reverse,C05645 + C00025 + Z00035 => C03227 + C00026 + Z00035
R04172,forward,C03227 => C05636 + C00011
R04172,reverse,C05636 + C00011 => C03227
R04173_v1,forward,C01005 + C00026 + Z00035 => C03232 + C00025 + Z00035
R04173_v1,reverse,C03232 + C00025 + Z00035 => C01005 + C00026 + Z00035
R04174,forward,C05548 + C00001 => C00033 + C03239
R04174,reverse,C00033 + C03239 => C05548 + C00001
R04175,forward,C03239 => C04092 + C00001
R04176,reverse,C00153 + C03245 + C00080 => C00003 + C03245
R04177,forward,C03981 => C03248 + C00001
R04178_v1,forward,3C00007 + C03263 + Z00013 => 3C00027 + C05770 + Z00013
R04179,forward,C00029 + C03268 => C00105 + C04645
R04180,reverse,C00103 + C03268 => C04645 + C00001
R04182_v1,forward,C00203 + C03272 + Z00030 => C00015 + C04925 + Z00030
R04183_v1,forward,C03272 + C01132 + Z00032 => C04925 + C00001 + Z00032
R04184,forward,C04737 + C01132 => C03272 + C00001
R04185,forward,C03817 + C00003 => C03277 + C00004 + C00080
R04185,reverse,C03277 + C00004 + C00080 => C03817 + C00003
R04186,forward,C03817 + C00006 => C03277 + C00005 + C00080
R04186,reverse,C03277 + C00005 + C00080 => C03817 + C00006
R04187_v1,forward,C00041 + C06002 + Z00035 => C00022 + C03284 + Z00035
R04187_v1,reverse,C00022 + C03284 + Z00035 => C00041 + C06002 + Z00035
R04188_v1,forward,C03284 + C00026 + Z00035 => C06002 + C00025 + Z00035
R04188_v1,reverse,C06002 + C00025 + Z00035 => C03284 + C00026 + Z00035
R04189,forward,2C00001 + C03296 => 2C00014 + C03415 + C00011
R04190,forward,C00019 + C03306 => C00021 + C04311
R04191,forward,C03317 + C00001 => C05167 + C00069
R04192,forward,C00024 + C03318 => C00010 + C04149
R04194_v1,reverse,C00031 + C03323 + Z00055 => C00089 + C03323 + Z00055
R04198,forward,C03972 + C00003 + C00001 => C20258 + C00004 + C00080
R04198,reverse,C20258 + C00004 + C00080 => C03972 + C00003 + C00001
R04199,forward,C03972 + C00006 + C00001 => C20258 + C00005 + C00080
R04199,reverse,C20258 + C00005 + C00080 => C03972 + C00006 + C00001
R04200_v1,forward,C03943 + C00001 + C00003 + Z00035 => C03341 + C00014 + C00004 + C00080 + Z00035
R04200_v1,reverse,C03341 + C00014 + C00004 + C00080 + Z00035 => C03943 + C00001 + C00003 + Z00035
R04201_v1,forward,C03943 + C00006 + C00001 + Z00035 => C03341 + C00005 + C00014 + C00080 + Z00035
R04201_v1,reverse,C03341 + C00005 + C00014 + C00080 + Z00035 => C03943 + C00006 + C00001 + Z00035
R04202,forward,C03690 + C00001 => C03343 + C02498
R04202,reverse,C03343 + C02498 => C03690 + C00001
R04203,forward,C04405 + C00003 => C03344 + C00004 + C00080
R04203,reverse,C03344 + C00004 + C00080 => C04405 + C00003
R04204_v1,forward,C04405 + Z00032 => C03345 + C00001 + Z00032
R04204_v1,reverse,C03345 + C00001 + Z00032 => C04405 + Z00032
R04205,forward,C03345 + C02621 => C00010 + C04170
R04205,reverse,C00010 + C04170 => C03345 + C02621
R04206_v1,forward,C03356 + Z00029 => C04309 + C00001 + Z00029
R04206_v1,reverse,C04309 + C00001 + Z00029 => C03356 + Z00029
R04208,forward,C00002 + C04640 => C00008 + C00009 + C03373
R04208,reverse,C00008 + C00009 + C03373 => C00002 + C04640
R04208_gATP,forward,C04640 + C00013 => C00009 + C03373 + C00009
R04208_gATP,reverse,C00009 + C03373 + C00009 => C04640 + C00013
R04209,forward,C04751 => C03373 + C00011
R04209,reverse,C03373 + C00011 => C04751
R04210,forward,C03393 + C00003 => C06054 + C00004 + C00080
R04210,reverse,C06054 + C00004 + C00080 => C03393 + C00003
R04211,forward,C00313 + C03401 => C00010 + C04209
R04211,reverse,C00010 + C04209 => C00313 + C03401
R04212,reverse,C06113 + C00064 + C00002 + C00001 => C03402 + C00025 + C00009 + C00008
R04213,forward,C00053 + C03404 => C00054 + C04201
R04214,forward,C03409 => C05133 + C00001
R04214,reverse,C05133 + C00001 => C03409
R04215_v1,reverse,C00013 + C03691 + Z00030 => C00063 + C03410 + Z00030
R04215_v2,reverse,C00013 + C03691 + Z00029 => C00063 + C03410 + Z00029
R04216_v1,reverse,C00621 + C11572 + Z00030 => C04213 + C03021 + Z00030
R04217_v1,forward,C03415 + C00026 + Z00035 => C05932 + C00025 + Z00035
R04217_v1,reverse,C05932 + C00025 + Z00035 => C03415 + C00026 + Z00035
R04218_v1,forward,C03427 + Z00030 => C00013 + C05421 + Z00030
R04218_v1,reverse,C00013 + C05421 + Z00030 => C03427 + Z00030
R04218_v2,forward,C03427 + Z00029 => C00013 + C05421 + Z00029
R04218_v2,reverse,C00013 + C05421 + Z00029 => C03427 + Z00029
R04221_v1,forward,C03440 + C00007 + Z00019 + Z00013 => C04282 + C00027 + Z00019 + Z00013
R04222,forward,C03442 + C01121 => C00363 + C04767
R04222,reverse,C00363 + C04767 => C03442 + C01121
R04223,forward,C03453 + C00001 => C03589 + C00011
R04223,reverse,C03589 + C00011 => C03453 + C00001
R04224_v1,forward,C03460 + C00001 + Z00032 => C06000 + Z00032
R04224_v1,reverse,C06000 + Z00032 => C03460 + C00001 + Z00032
R04225_v1,forward,C00671 + C15972 + Z00032 => C15979 + C00011 + Z00032
R04227,forward,C00157 + C00381 => C01884 + C04230
R04228,forward,2C00004 + 2C00080 + C03474 => 2C00003 + C04050 + C00001
R04228,reverse,2C00003 + C04050 + C00001 => 2C00004 + 2C00080 + C03474
R04229,forward,2C00005 + 2C00080 + C03474 => 2C00006 + C04050 + C00001
R04229,reverse,2C00006 + C04050 + C00001 => 2C00005 + 2C00080 + C03474
R04230,forward,C00002 + C03492 + C00097 => C00020 + C00013 + C04352
R04230,reverse,C00020 + C00013 + C04352 => C00002 + C03492 + C00097
R04231,forward,C00063 + C03492 + C00097 => C00055 + C00013 + C04352
R04231,reverse,C00055 + C00013 + C04352 => C00063 + C03492 + C00097
R04234_v1,forward,C03493 + C00026 + Z00035 => C03590 + C00025 + Z00035
R04234_v1,reverse,C03590 + C00025 + Z00035 => C03493 + C00026 + Z00035
R04235,forward,C00002 + C03495 => C00008 + C04187
R04235,reverse,C00008 + C04187 => C00002 + C03495
R04236,forward,C03894 + C00003 => C03505 + C00004 + C00080
R04236,reverse,C03505 + C00004 + C00080 => C03894 + C00003
R04237,forward,C00019 + C03516 => C00021 + C04536
R04237,reverse,C00021 + C04536 => C00019 + C03516
R04238,forward,C03880 + C00001 => C03523 + C00066
R04247,forward,C00063 + C03557 => C00013 + C05673
R04247,reverse,C00013 + C05673 => C00063 + C03557
R04248,forward,C03557 + C00027 => C00189 + C00009
R04249,forward,C03557 => C05678
R04250,reverse,C05679 => C03557
R04251,forward,C03167 + C00003 + C00001 => C05682 + C00004 + C00080
R04251,reverse,C05682 + C00004 + C00080 => C03167 + C00003 + C00001
R04252,reverse,C05683 => C03557
R04256,forward,C05952 + C00007 + C00005 + C00080 => C03577 + C00006 + C00001
R04257,forward,C03582 => C05901
R04258_v1,forward,C02375 + C00007 + Z00015 => C03585 + Z00015
R04259_v1,forward,C04522 + Z00030 => C03585 + Z00030
R04259_v1,reverse,C03585 + Z00030 => C04522 + Z00030
R04260,forward,C04105 => C03586
R04260,reverse,C03586 => C04105
R04263,forward,C03594 + C00003 => C05455 + C00004 + C00080
R04263,reverse,C05455 + C00004 + C00080 => C03594 + C00003
R04264,forward,C03594 + C00006 => C05455 + C00005 + C00080
R04264,reverse,C05455 + C00005 + C00080 => C03594 + C00006
R04265,forward,C03598 + C00006 => C04297 + C00005 + C00080
R04265,reverse,C04297 + C00005 + C00080 => C03598 + C00006
R04266_v1,forward,C03598 + Z00032 => C03599 + Z00032
R04266_v1,reverse,C03599 + Z00032 => C03598 + Z00032
R04267,forward,C00002 + C00676 => C00008 + C04232
R04267,reverse,C00008 + C04232 => C00002 + C00676
R04268_v1,forward,C04258 + C00001 + Z00015 => C00058 + C03617 + Z00015
R04268_v2,forward,C04258 + C00001 + Z00006 => C00058 + C03617 + Z00006
R04268_v3,forward,C04258 + C00001 + Z00054 => C00058 + C03617 + Z00054
R04269,forward,C03618 + C00026 => C06030 + C00025
R04269,reverse,C06030 + C00025 => C03618 + C00026
R04270,forward,C04698 + C00001 => C01019 + C03619
R04270,reverse,C01019 + C03619 => C04698 + C00001
R04271,forward,C04081 + C03622 => C03622 + C03621
R04272,reverse,C03632 + C00110 => C04213 + C00001
R04273_v1,forward,C03798 + Z00055 => C03633 + Z00055
R04273_v1,reverse,C03633 + Z00055 => C03798 + Z00055
R04274,forward,C00002 + C03638 => C00020 + C00013 + C04312
R04274,reverse,C00020 + C00013 + C04312 => C00002 + C03638
R04275_v1,forward,C00002 + C03643 + Z00029 => C00008 + C04214 + Z00029
R04275_v1,reverse,C00008 + C04214 + Z00029 => C00002 + C03643 + Z00029
R04276_v1,forward,C03648 + C00026 + C00007 + Z00015 + Z00004 => 2C00001 + C05904 + C00042 + C00011 + Z00015 + Z00004
R04277,forward,C03671 + C00001 => C04434
R04278,reverse,C03671 + C00004 + C00080 => C05375 + C00003
R04279,reverse,C03671 + C00005 + C00080 => C05375 + C00006
R04280_v1,forward,C05616 + C00007 + Z00015 => C03671 + C00132 + Z00015
R04281,forward,C00169 + C04448 => C00009 + C03674
R04281,reverse,C00009 + C03674 => C00169 + C04448
R04282,forward,C03680 + C00001 => C16674
R04282,reverse,C16674 => C03680 + C00001
R04283,forward,C03680 + C00001 => C05572 + C00058 + C00014
R04285,forward,C04244 + C00006 => C03684 + C00005 + C00080
R04285,reverse,C03684 + C00005 + C00080 => C04244 + C00006
R04286_v1,forward,C04895 + Z00029 => C03684 + C00536 + Z00029
R04286_v1,reverse,C03684 + C00536 + Z00029 => C04895 + Z00029
R04286_v2,forward,C04895 + Z00054 => C03684 + C00536 + Z00054
R04286_v2,reverse,C03684 + C00536 + Z00054 => C04895 + Z00054
R04289,forward,C03691 => C05005
R04291,forward,C00043 + C03706 => C00105 + C04789
R04292_v1,reverse,C05840 + C00111 + Z00002 => 2C00001 + C03722 + C00009 + Z00002
R04292_v2,reverse,C05840 + C00111 + Z00063 => 2C00001 + C03722 + C00009 + Z00063
R04293,reverse,C04409 => C03722 + C00001
R04294_v1,forward,C04232 + C00343 + C00001 + Z00015 => C03723 + C00342 + Z00015
R04294_v1,reverse,C03723 + C00342 + Z00015 => C04232 + C00343 + C00001 + Z00015
R04294_v2,forward,C04232 + C00343 + C00001 + Z00029 => C03723 + C00342 + Z00029
R04294_v2,reverse,C03723 + C00342 + Z00029 => C04232 + C00343 + C00001 + Z00029
R04294_v3,forward,C04232 + C00343 + C00001 + Z00009 => C03723 + C00342 + Z00009
R04294_v3,reverse,C03723 + C00342 + Z00009 => C04232 + C00343 + C00001 + Z00009
R04296,forward,C00029 + C03742 => C00015 + C05143
R04296,reverse,C00015 + C05143 => C00029 + C03742
R04297_v1,forward,C03743 + C01108 + Z00002 => C03743 + C02183 + Z00002
R04297_v1,reverse,C03743 + C02183 + Z00002 => C03743 + C01108 + Z00002
R04297_v2,forward,C03743 + C01108 + Z00064 + Z00031 => C03743 + C02183 + Z00064 + Z00031
R04297_v2,reverse,C03743 + C02183 + Z00064 + Z00031 => C03743 + C01108 + Z00064 + Z00031
R04299,forward,C03752 => C05383
R04300_v1,forward,C03758 + C00001 + C00007 + Z00065 + C03758 + C00001 + C00007 + Z00019 + Z00013 + C03758 + C00001 + C00007 + Z00061 + Z00030 + Z00054 => C04043 + C00014 + C00027 + Z00065 + C04043 + C00014 + C00027 + Z00019 + Z00013 + C04043 + C00014 + C00027 + Z00061 + Z00030 + Z00054
R04300_v2,forward,C03758 + C00001 + C00007 + Z00070 + Z00061 => C04043 + C00014 + C00027 + Z00070 + Z00061
R04300_v3,forward,C03758 + C00001 + C00007 + Z00035 + Z00022 + Z00030 + Z00054 => C04043 + C00014 + C00027 + Z00035 + Z00022 + Z00030 + Z00054
R04300_v4,forward,C03758 + C00001 + C00007 + Z00070 + Z00035 + Z00022 => C04043 + C00014 + C00027 + Z00070 + Z00035 + Z00022
R04301_v1,forward,C00019 + C03758 + Z00029 => C00021 + C05587 + Z00029
R04301_v1,reverse,C00021 + C05587 + Z00029 => C00019 + C03758 + Z00029
R04301_v2,forward,C00019 + C03758 + Z00069 => C00021 + C05587 + Z00069
R04301_v2,reverse,C00021 + C05587 + Z00069 => C00019 + C03758 + Z00069
R04303,forward,C03764 + C00006 + C00001 => C04291 + C00005 + C00080
R04303,reverse,C04291 + C00005 + C00080 => C03764 + C00006 + C00001
R04304_v1,forward,C06044 + C00003 + Z00054 => C03765 + C00004 + C00080 + Z00054
R04304_v1,reverse,C03765 + C00004 + C00080 + Z00054 => C06044 + C00003 + Z00054
R04305_v1,forward,C03765 + C03758 + Z00015 => C06160 + C00001 + Z00015
R04305_v1,reverse,C06160 + C00001 + Z00015 => C03765 + C03758 + Z00015
R04306_v1,forward,C04353 + Z00032 + Z00010 => C03766 + C00001 + Z00032 + Z00010
R04306_v1,reverse,C03766 + C00001 + Z00032 + Z00010 => C04353 + Z00032 + Z00010
R04307,forward,C04404 + C00003 => C03767 + C00004 + C00080
R04307,reverse,C03767 + C00004 + C00080 => C04404 + C00003
R04309,forward,C04373 + C00003 => C03772 + C00004 + C00080
R04309,reverse,C03772 + C00004 + C00080 => C04373 + C00003
R04310,forward,C04373 + C00006 => C03772 + C00005 + C00080
R04310,reverse,C03772 + C00005 + C00080 => C04373 + C00006
R04311_v1,forward,C03372 + C00339 + Z00013 => C03715 + C03129 + Z00013
R04311_v1,reverse,C03715 + C03129 + Z00013 => C03372 + C00339 + Z00013
