reaction,direction,reaction_def
R00085_v2,forward,2C00001 + C00002 + Z00055 => 2C00009 + C00020 + Z00055
R00085_v3,forward,2C00001 + C00002 + Z00029 => 2C00009 + C00020 + Z00029
R00085_v4,forward,2C00001 + C00002 + Z00069 => 2C00009 + C00020 + Z00069
R00086_v1,forward,C00002 + C00001 + Z00029 + C00002 + C00001 + Z00029 + C00002 + C00001 + Z00030 => C00008 + C00009 + Z00029 + C00008 + C00009 + Z00029 + C00008 + C00009 + Z00030
R00086_v1,reverse,C00008 + C00009 + Z00029 + C00008 + C00009 + Z00029 + C00008 + C00009 + Z00030 => C00002 + C00001 + Z00029 + C00002 + C00001 + Z00029 + C00002 + C00001 + Z00030
R00086_v2,forward,C00002 + C00001 + Z00055 => C00008 + C00009 + Z00055
R00086_v2,reverse,C00008 + C00009 + Z00055 => C00002 + C00001 + Z00055
R00086_v3,forward,C00002 + C00001 + Z00029 => C00008 + C00009 + Z00029
R00086_v3,reverse,C00008 + C00009 + Z00029 => C00002 + C00001 + Z00029
R00086_v4,forward,C00002 + C00001 + Z00069 => C00008 + C00009 + Z00069
R00086_v4,reverse,C00008 + C00009 + Z00069 => C00002 + C00001 + Z00069
R00087_v1,forward,C00002 + C00001 + Z00029 + C00002 + C00001 + Z00030 => C00020 + C00013 + Z00029 + C00020 + C00013 + Z00030
R00087_v2,forward,C00002 + C00001 + Z00029 => C00020 + C00013 + Z00029
R00087_v3,forward,C00002 + C00001 + Z00069 => C00020 + C00013 + Z00069
R00088,forward,C00002 + C00001 => C00081 + C00014
R00089_v1,forward,C00002 + Z00039 + Z00030 => C00575 + C00013 + Z00039 + Z00030
R00089_v1,reverse,C00575 + C00013 + Z00039 + Z00030 => C00002 + Z00039 + Z00030
R00089_v2,forward,C00002 + Z00039 + Z00055 => C00575 + C00013 + Z00039 + Z00055
R00089_v2,reverse,C00575 + C00013 + Z00039 + Z00055 => C00002 + Z00039 + Z00055
R00089_v3,forward,C00002 + Z00039 + Z00029 => C00575 + C00013 + Z00039 + Z00029
R00089_v3,reverse,C00575 + C00013 + Z00039 + Z00029 => C00002 + Z00039 + Z00029
R00090_v1,forward,C00027 + C00004 + C00080 + Z00015 => 2C00001 + C00003 + Z00015
R00090_v2,forward,C00027 + C00004 + C00080 + Z00019 + Z00013 => 2C00001 + C00003 + Z00019 + Z00013
R00091,forward,2C00010 + C00003 => C02015 + C00004 + C00080
R00091,reverse,C02015 + C00004 + C00080 => 2C00010 + C00003
R00092_v1,reverse,2C14819 + C00004 + C00080 + Z00013 => 2C14818 + C00003 + Z00013
R00093_v1,forward,2C00025 + C00003 + Z00067 + Z00014 + Z00019 + Z00013 => C00064 + C00026 + C00004 + C00080 + Z00067 + Z00014 + Z00019 + Z00013
R00093_v1,reverse,C00064 + C00026 + C00004 + C00080 + Z00067 + Z00014 + Z00019 + Z00013 => 2C00025 + C00003 + Z00067 + Z00014 + Z00019 + Z00013
R00094_v1,forward,2C00051 + C00003 + Z00019 + Z00013 => C00127 + C00004 + C00080 + Z00019 + Z00013
R00094_v1,reverse,C00127 + C00004 + C00080 + Z00019 + Z00013 => 2C00051 + C00003 + Z00019 + Z00013
R00095_v1,forward,2C00072 + C00003 + Z00054 => 2C01041 + C00004 + C00080 + Z00054
R00095_v1,reverse,2C01041 + C00004 + C00080 + Z00054 => 2C00072 + C00003 + Z00054
R00095_v2,forward,2C00072 + C00003 + Z00013 => 2C01041 + C00004 + C00080 + Z00013
R00095_v2,reverse,2C01041 + C00004 + C00080 + Z00013 => 2C00072 + C00003 + Z00013
R00097,forward,C00541 => C00992
R00097,reverse,C00992 => C00541
R00099,forward,2C00853 + C00003 => 2C00541 + C00004 + C00080
R00099,reverse,2C00541 + C00004 + C00080 => 2C00853 + C00003
R00100_v1,forward,2C00996 + C00004 + Z00019 + Z00013 => 2C00999 + C00003 + C00080 + Z00019 + Z00013
R00100_v1,reverse,2C00999 + C00003 + C00080 + Z00019 + Z00013 => 2C00996 + C00004 + Z00019 + Z00013
R00101_v1,forward,2C02683 + C00004 + Z00013 => 2C02685 + C00003 + C00080 + Z00013
R00101_v1,reverse,2C02685 + C00003 + C00080 + Z00013 => 2C02683 + C00004 + Z00013
R00102,forward,C00003 + C00001 => C00153 + C00301
R00103_v1,forward,C00003 + C00001 + Z00030 + C00003 + C00001 + Z00030 => C00020 + C00455 + Z00030 + C00020 + C00455 + Z00030
R00103_v2,forward,C00003 + C00001 + Z00029 => C00020 + C00455 + Z00029
R00103_v3,forward,C00003 + C00001 + Z00069 => C00020 + C00455 + Z00069
R00104_v1,forward,C00002 + C00003 + Z00030 => C00008 + C00006 + Z00030
R00104_v1,reverse,C00008 + C00006 + Z00030 => C00002 + C00003 + Z00030
