Supplementary Dataset 1 - Spreadsheet F - Features of reaction sets pre and post ammonia for 144 expansion simulations - Data for generating Extended Data Fig.2,,,,,,,,,,,,,
,,,,,,,,,,,,,
Redox Potential,pH,"Seed (0=CO2, 1=Formate/Acetate)","Thioester (0=No RSH, 1=RSH)",T,CoenzymeStoich,PPE reaction proportion (pre-ammonia),PPE reaction proportion (post-ammonia),Nitrogen-containg coenzymes (pre-ammonia),Nitrogen-containg coenzymes (post-ammonia),Active Site Nitrogen (pre-ammonia),Active Site Nitrogen (post-ammonia),Whole enzyme nitrogen (pre-ammonia),Whole enzyme nitrogen (post-ammonia)
0,7,0,1,150,1,0.12707182320442,0.133971291866029,0.0810313075506446,0.406698564593301,0.35734664764622,0.4688,0.206394373553936,0.203329714031893
-600,7,1,1,50,1,0.149509803921569,0.105932203389831,0.0857843137254902,0.38135593220339,0.364161849710983,0.461642905634759,0.203497001109328,0.203147242894636
-400,7,1,1,50,1,0.144522144522145,0.111111111111111,0.0885780885780886,0.35632183908046,0.366636113657195,0.464857341684064,0.203415554302656,0.202993582795559
-200,7,1,1,50,1,0.151079136690647,0.1256038647343,0.0983213429256595,0.410628019323671,0.364214350590372,0.4688,0.204037467517732,0.203337733865648
0,7,1,1,50,1,0.148051948051948,0.13,0.106493506493506,0.415,0.367101303911735,0.4688,0.203690591221265,0.20334049560277
-600,7,1,1,150,1,0.128158844765343,0.115942028985507,0.0740072202166065,0.344202898550725,0.358273381294964,0.464857341684064,0.206013275505572,0.202977505375452
-400,7,1,1,150,1,0.127433628318584,0.114695340501792,0.0761061946902655,0.340501792114695,0.358156028368794,0.464857341684064,0.206406524258969,0.202948118096003
-200,7,1,1,150,1,0.128975265017668,0.114285714285714,0.0777385159010601,0.342857142857143,0.358156028368794,0.464857341684064,0.206412469154735,0.202947858014516
0,7,1,1,150,1,0.12707182320442,0.133971291866029,0.0810313075506446,0.406698564593301,0.35734664764622,0.4688,0.206394373553936,0.203329714031893
200,7,1,1,150,1,0.151832460732984,0.147368421052632,0.0942408376963351,0.415789473684211,0.373607540702656,0.465587044534413,0.205870943554573,0.203247785487193
