,mean_dor,ne_size,dtype
427,1.9486835474930713,389,lower
428,1.9402216746494678,4109,lower
429,1.9711871204031486,78,lower
430,1.9098941889355425,391,lower
431,1.9876019439114683,427,lower
432,1.9017828216557944,391,lower
433,1.9212294917967188,4095,lower
434,1.936961173358232,421,lower
435,1.9205993229005327,388,lower
436,1.901813836569934,400,lower
437,1.888869463869464,397,lower
438,1.9266712745704344,414,lower
439,1.9162278263091674,390,lower
440,1.8564948363532106,401,lower
441,1.886530751602264,394,lower
442,1.9396429825345105,4119,lower
443,1.9801342007796308,384,lower
444,1.9186014787097743,397,lower
445,1.8924173374593334,387,lower
446,1.969432985302801,387,lower
447,1.9270934434379812,433,lower
448,1.8393526439503451,397,lower
449,1.9531038558636968,4102,lower
450,1.9154572238252028,4105,lower
451,1.8713201654930982,393,lower
452,1.9649460151841105,405,lower
453,1.9224174855127238,424,lower
454,1.8741628469569647,389,lower
455,1.9535715801472109,391,lower
456,1.9555703089316534,84,lower
457,1.9689957798085875,407,lower
458,1.8613995598239295,399,lower
459,1.969710748194642,386,lower
460,1.8530681315665523,401,lower
461,1.8982454978480674,397,lower
462,1.9669166371547326,387,lower
463,1.9355677578125179,4138,lower
464,1.9320362240853655,392,lower
465,1.9531362145515947,395,lower
466,1.9135658452515543,71,lower
467,1.8692264113140602,396,lower
468,1.9855983504512917,402,lower
469,1.9426872874325132,398,lower
470,1.9048328244969361,402,lower
471,1.89769749577195,90,lower
472,1.9451261294754552,397,lower
473,1.9225931908813687,397,lower
474,1.9094088917618333,402,lower
475,1.8783374033374034,408,lower
476,1.9567693744164334,107,lower
477,1.9118298430483307,396,lower
478,1.9709592698046619,400,lower
479,1.9556644880174288,412,lower
480,1.9287274400500942,396,lower
481,1.983241337470661,89,lower
482,1.9747592505015477,405,lower
483,1.9708331985993053,421,lower
484,1.959172372652765,398,lower
485,1.798480904199996,398,lower
486,1.9161325087063998,388,lower
487,1.9239931228901817,393,lower
488,1.8922809527851545,391,lower
489,1.9184790204588178,389,lower
490,1.91377837739964,421,lower
491,1.9154466291445686,4108,lower
492,1.9060500125976318,382,lower
493,1.972265044229074,400,lower
494,1.8956632653061225,413,lower
495,1.9512537875398206,107,lower
496,1.982988173266919,390,lower
497,1.9374674448904141,397,lower
498,1.916797985472721,4114,lower
499,1.9758704893508816,387,lower
500,1.9545829581856433,410,lower
501,1.9840767188892938,383,lower
502,1.9897933811205644,392,lower
503,1.971948688793841,75,lower
504,1.910055045092946,388,lower
505,1.9375886106083693,389,lower
506,1.938177959606531,388,lower
507,1.9434238847053975,396,lower
508,1.9594793187930448,386,lower
509,1.8779701061711234,391,lower
510,1.9742090108173376,71,lower
511,1.889017092203367,413,lower
512,1.8783546559997084,82,lower
513,1.9126898234041092,392,lower
514,1.941817347757714,422,lower
515,1.927041200847264,394,lower
516,1.9591402821291122,399,lower
517,1.9859135854436605,395,lower
518,1.942878530722634,409,lower
519,1.9426445246533628,401,lower
520,1.9738129595272453,76,lower
521,1.9576727539108834,398,lower
522,1.8880770464103798,4112,lower
523,1.9346023879637326,391,lower
524,1.9780841331611645,79,lower
525,1.881668385189602,399,lower
526,1.8791426166426164,392,lower
527,1.9580592143617357,400,lower
528,1.9477820294784582,70,lower
529,1.9570661919566446,388,lower
530,1.9265002196966259,397,lower
531,1.9104015647548254,383,lower
532,1.940838614648139,408,lower
533,1.872028927268218,404,lower
534,1.9366017255741572,412,lower
535,1.935301405855593,389,lower
536,1.9122980125777833,402,lower
537,1.9109260829693326,412,lower
538,1.908169419740899,400,lower
539,1.9362397523111805,386,lower
540,1.9721317483222252,394,lower
541,1.9512660876316341,75,lower
542,1.8940967525221473,392,lower
543,1.9241950483897259,407,lower
544,1.9682449915387,4101,lower
545,1.8743952371771924,400,lower
546,1.9067150952810845,382,lower
547,1.9857703415476524,392,lower
548,1.9304668597419943,4097,lower
549,1.8466842240651768,401,lower
550,1.8762055933484507,434,lower
551,1.9371625481000483,68,lower
552,1.9127313953294345,392,lower
553,1.8641754647943902,4109,lower
554,1.8920325706039993,398,lower
555,1.988448974805682,391,lower
556,1.952876939015545,405,lower
557,1.9319537359103187,4114,lower
