i,n_swapped,n_kinases_to_ATP,n_ligases_to_ATP,swapped,n_compounds,n_reactions,R00200,R01523,R06836,R01053,R04144,R04208,R04463,R04591,R06974,R06975
507,5,1,4,"R00200,R04208,R04463,R04591,R06974",438,1255,1,0,0,0,0,1,1,1,1,0
508,5,1,4,"R00200,R04208,R04463,R04591,R06975",439,1257,1,0,0,0,0,1,1,1,0,1
509,5,1,4,"R00200,R04208,R04463,R06974,R06975",438,1255,1,0,0,0,0,1,1,0,1,1
510,5,1,4,"R00200,R04208,R04591,R06974,R06975",438,1255,1,0,0,0,0,1,0,1,1,1
511,5,1,4,"R00200,R04463,R04591,R06974,R06975",438,1255,1,0,0,0,0,0,1,1,1,1
512,5,2,3,"R01523,R06836,R01053,R04144,R04208",429,1210,0,1,1,1,1,1,0,0,0,0
513,5,2,3,"R01523,R06836,R01053,R04144,R04463",429,1210,0,1,1,1,1,0,1,0,0,0
514,5,2,3,"R01523,R06836,R01053,R04144,R04591",429,1210,0,1,1,1,1,0,0,1,0,0
515,5,2,3,"R01523,R06836,R01053,R04144,R06974",429,1210,0,1,1,1,1,0,0,0,1,0
516,5,2,3,"R01523,R06836,R01053,R04144,R06975",429,1210,0,1,1,1,1,0,0,0,0,1
517,5,2,3,"R01523,R06836,R01053,R04208,R04463",429,1210,0,1,1,1,0,1,1,0,0,0
518,5,2,3,"R01523,R06836,R01053,R04208,R04591",429,1210,0,1,1,1,0,1,0,1,0,0
519,5,2,3,"R01523,R06836,R01053,R04208,R06974",429,1210,0,1,1,1,0,1,0,0,1,0
520,5,2,3,"R01523,R06836,R01053,R04208,R06975",429,1210,0,1,1,1,0,1,0,0,0,1
521,5,2,3,"R01523,R06836,R01053,R04463,R04591",429,1210,0,1,1,1,0,0,1,1,0,0
522,5,2,3,"R01523,R06836,R01053,R04463,R06974",429,1210,0,1,1,1,0,0,1,0,1,0
523,5,2,3,"R01523,R06836,R01053,R04463,R06975",429,1210,0,1,1,1,0,0,1,0,0,1
524,5,2,3,"R01523,R06836,R01053,R04591,R06974",429,1210,0,1,1,1,0,0,0,1,1,0
525,5,2,3,"R01523,R06836,R01053,R04591,R06975",429,1210,0,1,1,1,0,0,0,1,0,1
526,5,2,3,"R01523,R06836,R01053,R06974,R06975",429,1210,0,1,1,1,0,0,0,0,1,1
527,5,2,3,"R01523,R06836,R04144,R04208,R04463",437,1251,0,1,1,0,1,1,1,0,0,0
528,5,2,3,"R01523,R06836,R04144,R04208,R04591",437,1251,0,1,1,0,1,1,0,1,0,0
529,5,2,3,"R01523,R06836,R04144,R04208,R06974",437,1251,0,1,1,0,1,1,0,0,1,0
530,5,2,3,"R01523,R06836,R04144,R04208,R06975",437,1251,0,1,1,0,1,1,0,0,0,1
531,5,2,3,"R01523,R06836,R04144,R04463,R04591",437,1251,0,1,1,0,1,0,1,1,0,0
532,5,2,3,"R01523,R06836,R04144,R04463,R06974",437,1251,0,1,1,0,1,0,1,0,1,0
533,5,2,3,"R01523,R06836,R04144,R04463,R06975",437,1251,0,1,1,0,1,0,1,0,0,1
534,5,2,3,"R01523,R06836,R04144,R04591,R06974",437,1251,0,1,1,0,1,0,0,1,1,0
535,5,2,3,"R01523,R06836,R04144,R04591,R06975",437,1251,0,1,1,0,1,0,0,1,0,1
536,5,2,3,"R01523,R06836,R04144,R06974,R06975",437,1251,0,1,1,0,1,0,0,0,1,1
537,5,2,3,"R01523,R06836,R04208,R04463,R04591",439,1255,0,1,1,0,0,1,1,1,0,0
538,5,2,3,"R01523,R06836,R04208,R04463,R06974",438,1253,0,1,1,0,0,1,1,0,1,0
539,5,2,3,"R01523,R06836,R04208,R04463,R06975",439,1255,0,1,1,0,0,1,1,0,0,1
540,5,2,3,"R01523,R06836,R04208,R04591,R06974",438,1253,0,1,1,0,0,1,0,1,1,0
541,5,2,3,"R01523,R06836,R04208,R04591,R06975",440,1257,0,1,1,0,0,1,0,1,0,1
542,5,2,3,"R01523,R06836,R04208,R06974,R06975",438,1253,0,1,1,0,0,1,0,0,1,1
543,5,2,3,"R01523,R06836,R04463,R04591,R06974",438,1253,0,1,1,0,0,0,1,1,1,0
544,5,2,3,"R01523,R06836,R04463,R04591,R06975",439,1255,0,1,1,0,0,0,1,1,0,1
545,5,2,3,"R01523,R06836,R04463,R06974,R06975",438,1253,0,1,1,0,0,0,1,0,1,1
546,5,2,3,"R01523,R06836,R04591,R06974,R06975",438,1253,0,1,1,0,0,0,0,1,1,1
547,5,1,4,"R01523,R01053,R04144,R04208,R04463",437,1251,0,1,0,1,1,1,1,0,0,0
548,5,1,4,"R01523,R01053,R04144,R04208,R04591",437,1251,0,1,0,1,1,1,0,1,0,0
549,5,1,4,"R01523,R01053,R04144,R04208,R06974",437,1251,0,1,0,1,1,1,0,0,1,0
550,5,1,4,"R01523,R01053,R04144,R04208,R06975",437,1251,0,1,0,1,1,1,0,0,0,1
551,5,1,4,"R01523,R01053,R04144,R04463,R04591",437,1251,0,1,0,1,1,0,1,1,0,0
552,5,1,4,"R01523,R01053,R04144,R04463,R06974",437,1251,0,1,0,1,1,0,1,0,1,0
553,5,1,4,"R01523,R01053,R04144,R04463,R06975",437,1251,0,1,0,1,1,0,1,0,0,1
554,5,1,4,"R01523,R01053,R04144,R04591,R06974",437,1251,0,1,0,1,1,0,0,1,1,0
555,5,1,4,"R01523,R01053,R04144,R04591,R06975",437,1251,0,1,0,1,1,0,0,1,0,1
556,5,1,4,"R01523,R01053,R04144,R06974,R06975",437,1251,0,1,0,1,1,0,0,0,1,1
557,5,1,4,"R01523,R01053,R04208,R04463,R04591",439,1255,0,1,0,1,0,1,1,1,0,0
558,5,1,4,"R01523,R01053,R04208,R04463,R06974",438,1253,0,1,0,1,0,1,1,0,1,0
559,5,1,4,"R01523,R01053,R04208,R04463,R06975",439,1255,0,1,0,1,0,1,1,0,0,1
560,5,1,4,"R01523,R01053,R04208,R04591,R06974",438,1253,0,1,0,1,0,1,0,1,1,0
561,5,1,4,"R01523,R01053,R04208,R04591,R06975",440,1257,0,1,0,1,0,1,0,1,0,1
562,5,1,4,"R01523,R01053,R04208,R06974,R06975",438,1253,0,1,0,1,0,1,0,0,1,1
563,5,1,4,"R01523,R01053,R04463,R04591,R06974",438,1253,0,1,0,1,0,0,1,1,1,0
564,5,1,4,"R01523,R01053,R04463,R04591,R06975",439,1255,0,1,0,1,0,0,1,1,0,1
565,5,1,4,"R01523,R01053,R04463,R06974,R06975",438,1253,0,1,0,1,0,0,1,0,1,1
566,5,1,4,"R01523,R01053,R04591,R06974,R06975",438,1253,0,1,0,1,0,0,0,1,1,1
567,5,1,4,"R01523,R04144,R04208,R04463,R04591",437,1253,0,1,0,0,1,1,1,1,0,0
568,5,1,4,"R01523,R04144,R04208,R04463,R06974",437,1253,0,1,0,0,1,1,1,0,1,0
569,5,1,4,"R01523,R04144,R04208,R04463,R06975",437,1253,0,1,0,0,1,1,1,0,0,1
570,5,1,4,"R01523,R04144,R04208,R04591,R06974",437,1253,0,1,0,0,1,1,0,1,1,0
571,5,1,4,"R01523,R04144,R04208,R04591,R06975",437,1253,0,1,0,0,1,1,0,1,0,1
572,5,1,4,"R01523,R04144,R04208,R06974,R06975",437,1253,0,1,0,0,1,1,0,0,1,1
573,5,1,4,"R01523,R04144,R04463,R04591,R06974",437,1253,0,1,0,0,1,0,1,1,1,0
574,5,1,4,"R01523,R04144,R04463,R04591,R06975",437,1253,0,1,0,0,1,0,1,1,0,1
575,5,1,4,"R01523,R04144,R04463,R06974,R06975",437,1253,0,1,0,0,1,0,1,0,1,1
576,5,1,4,"R01523,R04144,R04591,R06974,R06975",437,1253,0,1,0,0,1,0,0,1,1,1
577,5,1,4,"R01523,R04208,R04463,R04591,R06974",438,1255,0,1,0,0,0,1,1,1,1,0
578,5,1,4,"R01523,R04208,R04463,R04591,R06975",439,1257,0,1,0,0,0,1,1,1,0,1
579,5,1,4,"R01523,R04208,R04463,R06974,R06975",438,1255,0,1,0,0,0,1,1,0,1,1
580,5,1,4,"R01523,R04208,R04591,R06974,R06975",438,1255,0,1,0,0,0,1,0,1,1,1
581,5,1,4,"R01523,R04463,R04591,R06974,R06975",438,1255,0,1,0,0,0,0,1,1,1,1
582,5,1,4,"R06836,R01053,R04144,R04208,R04463",429,1214,0,0,1,1,1,1,1,0,0,0
583,5,1,4,"R06836,R01053,R04144,R04208,R04591",429,1214,0,0,1,1,1,1,0,1,0,0
584,5,1,4,"R06836,R01053,R04144,R04208,R06974",429,1214,0,0,1,1,1,1,0,0,1,0
585,5,1,4,"R06836,R01053,R04144,R04208,R06975",429,1214,0,0,1,1,1,1,0,0,0,1
586,5,1,4,"R06836,R01053,R04144,R04463,R04591",429,1214,0,0,1,1,1,0,1,1,0,0
587,5,1,4,"R06836,R01053,R04144,R04463,R06974",429,1214,0,0,1,1,1,0,1,0,1,0
588,5,1,4,"R06836,R01053,R04144,R04463,R06975",429,1214,0,0,1,1,1,0,1,0,0,1
589,5,1,4,"R06836,R01053,R04144,R04591,R06974",429,1214,0,0,1,1,1,0,0,1,1,0
590,5,1,4,"R06836,R01053,R04144,R04591,R06975",429,1214,0,0,1,1,1,0,0,1,0,1
591,5,1,4,"R06836,R01053,R04144,R06974,R06975",429,1214,0,0,1,1,1,0,0,0,1,1
592,5,1,4,"R06836,R01053,R04208,R04463,R04591",429,1214,0,0,1,1,0,1,1,1,0,0
593,5,1,4,"R06836,R01053,R04208,R04463,R06974",429,1214,0,0,1,1,0,1,1,0,1,0
594,5,1,4,"R06836,R01053,R04208,R04463,R06975",429,1214,0,0,1,1,0,1,1,0,0,1
595,5,1,4,"R06836,R01053,R04208,R04591,R06974",429,1214,0,0,1,1,0,1,0,1,1,0
596,5,1,4,"R06836,R01053,R04208,R04591,R06975",429,1214,0,0,1,1,0,1,0,1,0,1
597,5,1,4,"R06836,R01053,R04208,R06974,R06975",429,1214,0,0,1,1,0,1,0,0,1,1
598,5,1,4,"R06836,R01053,R04463,R04591,R06974",429,1214,0,0,1,1,0,0,1,1,1,0
599,5,1,4,"R06836,R01053,R04463,R04591,R06975",429,1214,0,0,1,1,0,0,1,1,0,1
600,5,1,4,"R06836,R01053,R04463,R06974,R06975",429,1214,0,0,1,1,0,0,1,0,1,1
601,5,1,4,"R06836,R01053,R04591,R06974,R06975",429,1214,0,0,1,1,0,0,0,1,1,1
602,5,1,4,"R06836,R04144,R04208,R04463,R04591",437,1255,0,0,1,0,1,1,1,1,0,0
603,5,1,4,"R06836,R04144,R04208,R04463,R06974",437,1255,0,0,1,0,1,1,1,0,1,0
604,5,1,4,"R06836,R04144,R04208,R04463,R06975",437,1255,0,0,1,0,1,1,1,0,0,1
605,5,1,4,"R06836,R04144,R04208,R04591,R06974",437,1255,0,0,1,0,1,1,0,1,1,0
606,5,1,4,"R06836,R04144,R04208,R04591,R06975",437,1255,0,0,1,0,1,1,0,1,0,1
607,5,1,4,"R06836,R04144,R04208,R06974,R06975",437,1255,0,0,1,0,1,1,0,0,1,1
608,5,1,4,"R06836,R04144,R04463,R04591,R06974",437,1255,0,0,1,0,1,0,1,1,1,0
609,5,1,4,"R06836,R04144,R04463,R04591,R06975",437,1255,0,0,1,0,1,0,1,1,0,1
610,5,1,4,"R06836,R04144,R04463,R06974,R06975",437,1255,0,0,1,0,1,0,1,0,1,1
611,5,1,4,"R06836,R04144,R04591,R06974,R06975",437,1255,0,0,1,0,1,0,0,1,1,1
612,5,1,4,"R06836,R04208,R04463,R04591,R06974",438,1257,0,0,1,0,0,1,1,1,1,0
613,5,1,4,"R06836,R04208,R04463,R04591,R06975",439,1259,0,0,1,0,0,1,1,1,0,1
614,5,1,4,"R06836,R04208,R04463,R06974,R06975",438,1257,0,0,1,0,0,1,1,0,1,1
615,5,1,4,"R06836,R04208,R04591,R06974,R06975",438,1257,0,0,1,0,0,1,0,1,1,1
616,5,1,4,"R06836,R04463,R04591,R06974,R06975",438,1257,0,0,1,0,0,0,1,1,1,1
617,5,0,5,"R01053,R04144,R04208,R04463,R04591",437,1255,0,0,0,1,1,1,1,1,0,0
618,5,0,5,"R01053,R04144,R04208,R04463,R06974",437,1255,0,0,0,1,1,1,1,0,1,0
619,5,0,5,"R01053,R04144,R04208,R04463,R06975",437,1255,0,0,0,1,1,1,1,0,0,1
620,5,0,5,"R01053,R04144,R04208,R04591,R06974",437,1255,0,0,0,1,1,1,0,1,1,0
621,5,0,5,"R01053,R04144,R04208,R04591,R06975",437,1255,0,0,0,1,1,1,0,1,0,1
622,5,0,5,"R01053,R04144,R04208,R06974,R06975",437,1255,0,0,0,1,1,1,0,0,1,1
623,5,0,5,"R01053,R04144,R04463,R04591,R06974",437,1255,0,0,0,1,1,0,1,1,1,0
624,5,0,5,"R01053,R04144,R04463,R04591,R06975",437,1255,0,0,0,1,1,0,1,1,0,1
625,5,0,5,"R01053,R04144,R04463,R06974,R06975",437,1255,0,0,0,1,1,0,1,0,1,1
626,5,0,5,"R01053,R04144,R04591,R06974,R06975",437,1255,0,0,0,1,1,0,0,1,1,1
627,5,0,5,"R01053,R04208,R04463,R04591,R06974",438,1257,0,0,0,1,0,1,1,1,1,0
628,5,0,5,"R01053,R04208,R04463,R04591,R06975",439,1259,0,0,0,1,0,1,1,1,0,1
629,5,0,5,"R01053,R04208,R04463,R06974,R06975",438,1257,0,0,0,1,0,1,1,0,1,1
630,5,0,5,"R01053,R04208,R04591,R06974,R06975",438,1257,0,0,0,1,0,1,0,1,1,1
631,5,0,5,"R01053,R04463,R04591,R06974,R06975",438,1257,0,0,0,1,0,0,1,1,1,1
632,5,0,5,"R04144,R04208,R04463,R04591,R06974",437,1257,0,0,0,0,1,1,1,1,1,0
633,5,0,5,"R04144,R04208,R04463,R04591,R06975",437,1257,0,0,0,0,1,1,1,1,0,1
634,5,0,5,"R04144,R04208,R04463,R06974,R06975",437,1257,0,0,0,0,1,1,1,0,1,1
635,5,0,5,"R04144,R04208,R04591,R06974,R06975",437,1257,0,0,0,0,1,1,0,1,1,1
636,5,0,5,"R04144,R04463,R04591,R06974,R06975",437,1257,0,0,0,0,1,0,1,1,1,1
637,5,0,5,"R04208,R04463,R04591,R06974,R06975",438,1259,0,0,0,0,0,1,1,1,1,1
638,6,3,3,"R00200,R01523,R06836,R01053,R04144,R04208",429,1206,1,1,1,1,1,1,0,0,0,0
639,6,3,3,"R00200,R01523,R06836,R01053,R04144,R04463",429,1206,1,1,1,1,1,0,1,0,0,0
640,6,3,3,"R00200,R01523,R06836,R01053,R04144,R04591",429,1206,1,1,1,1,1,0,0,1,0,0
641,6,3,3,"R00200,R01523,R06836,R01053,R04144,R06974",429,1206,1,1,1,1,1,0,0,0,1,0
642,6,3,3,"R00200,R01523,R06836,R01053,R04144,R06975",429,1206,1,1,1,1,1,0,0,0,0,1
643,6,3,3,"R00200,R01523,R06836,R01053,R04208,R04463",429,1206,1,1,1,1,0,1,1,0,0,0
644,6,3,3,"R00200,R01523,R06836,R01053,R04208,R04591",429,1206,1,1,1,1,0,1,0,1,0,0
645,6,3,3,"R00200,R01523,R06836,R01053,R04208,R06974",429,1206,1,1,1,1,0,1,0,0,1,0
