,stype,scope_size,expanded
1147,simple,93,False
1148,simple,60,False
1149,simple,65,False
1150,simple,383,False
1151,simple,71,False
1152,simple,61,False
1153,simple,64,False
1154,simple,4102,True
1155,simple,380,False
1156,simple,65,False
1157,simple,60,False
1158,simple,4100,True
1159,simple,66,False
1160,simple,65,False
1161,simple,386,False
1162,simple,386,False
1163,simple,66,False
1164,simple,58,False
1165,simple,384,False
1166,simple,72,False
1167,simple,392,False
1168,simple,57,False
1169,simple,68,False
1170,simple,72,False
1171,simple,393,False
1172,simple,62,False
1173,simple,4103,True
1174,simple,386,False
1175,simple,65,False
1176,simple,65,False
1177,simple,384,False
1178,simple,386,False
1179,simple,388,False
1180,simple,69,False
1181,simple,381,False
1182,simple,67,False
1183,simple,389,False
1184,simple,388,False
1185,simple,376,False
1186,simple,60,False
1187,simple,59,False
1188,simple,61,False
1189,simple,58,False
1190,simple,380,False
1191,simple,391,False
1192,simple,69,False
1193,simple,384,False
1194,simple,387,False
1195,simple,80,False
1196,simple,381,False
1197,simple,392,False
1198,simple,383,False
1199,simple,70,False
1200,simple,71,False
1201,simple,384,False
1202,simple,382,False
1203,simple,66,False
1204,simple,4095,True
1205,simple,69,False
1206,simple,391,False
1207,simple,383,False
1208,simple,4095,True
1209,simple,64,False
1210,simple,389,False
1211,simple,379,False
1212,simple,75,False
1213,simple,62,False
1214,simple,378,False
1215,simple,382,False
1216,simple,65,False
1217,simple,68,False
1218,simple,391,False
1219,simple,66,False
1220,simple,388,False
1221,simple,61,False
1222,simple,381,False
1223,simple,382,False
1224,simple,385,False
1225,simple,388,False
1226,simple,66,False
1227,simple,382,False
1228,simple,66,False
1229,simple,398,False
1230,simple,64,False
1231,simple,391,False
1232,simple,63,False
1233,simple,70,False
1234,simple,63,False
1235,simple,381,False
1236,simple,380,False
1237,simple,382,False
1238,simple,388,False
1239,simple,63,False
1240,simple,397,False
1241,simple,382,False
1242,simple,62,False
1243,simple,389,False
1244,simple,388,False
1245,simple,382,False
1246,simple,66,False
1247,simple,379,False
1248,simple,69,False
1249,simple,386,False
1250,simple,61,False
1251,simple,70,False
1252,simple,62,False
1253,simple,381,False
1254,simple,67,False
1255,simple,57,False
1256,simple,69,False
1257,simple,387,False
1258,simple,64,False
1259,simple,58,False
1260,simple,384,False
1261,simple,64,False
1262,simple,385,False
1263,simple,72,False
1264,simple,390,False
1265,simple,75,False
1266,simple,398,False
1267,simple,69,False
1268,simple,70,False
1269,simple,388,False
1270,simple,4110,True
1271,simple,62,False
1272,simple,400,False
1273,simple,395,False
1274,simple,391,False
1275,simple,62,False
1276,simple,379,False
1277,simple,388,False
1278,simple,58,False
1279,simple,68,False
1280,simple,66,False
1281,simple,65,False
1282,simple,65,False
1283,simple,383,False
1284,simple,393,False
1285,simple,62,False
1286,simple,387,False
1287,simple,59,False
1288,simple,384,False
1289,simple,379,False
1290,simple,381,False
1291,simple,387,False
1292,simple,70,False
1293,simple,61,False
