,rn,Fold
824,R08060,2002
825,R08060,65
826,R03015,2002
827,R03015,65
828,R11743,2002
829,R11743,65
830,R08060,1
831,R03015,1
832,R11743,1
833,R08060,207
834,R03015,207
835,R11743,207
836,R01415,187
837,R01415,2002
838,R01415,2003
839,R01415,205
840,R08226,187
841,R08226,2002
842,R08226,2003
843,R08226,205
844,R00978,187
845,R00978,2002
846,R00978,2003
847,R00978,205
848,R10118,2003
849,R10122,2003
850,R01404,2003
851,R04430,2003
852,R04725,2003
853,R04956,2003
854,R04959,2003
855,R04962,2003
856,R04967,2003
857,R04970,2003
858,R01403,2003
859,R04429,2003
860,R04724,2003
861,R04955,2003
862,R04958,2003
863,R04961,2003
864,R04966,2003
865,R04969,2003
866,R07765,2003
867,R00384,2003
868,R01171,2003
869,R01730,2003
870,R02207,2002
871,R02209,2002
872,R08958,2002
873,R08959,2002
874,R03325,2002
875,R07015,2002
876,R09420,2002
877,R00814,2002
878,R01451,3447
879,R01451,6166
880,R07487,3447
881,R07487,6166
882,R07492,3447
883,R07492,6166
884,R01456,3447
885,R01456,6166
886,R02391,2003
887,R02391,298
888,R02393,2003
889,R02393,298
890,R04198,2003
891,R04198,298
892,R04199,2003
893,R04199,298
894,R01505,2003
895,R05355,2007
896,R05355,4002
897,R06848,2007
898,R06848,4002
899,R07781,2007
900,R07781,4002
901,R09137,2007
902,R09137,4002
903,R09138,2007
904,R09138,4002
905,R09223,2007
906,R09223,4002
907,R09224,2007
908,R09224,4002
909,R02988,2007
910,R02988,4002
911,R02989,2007
912,R02989,4002
913,R06286,2003
914,R03845,2003
915,R04319,2002
916,R04319,2003
917,R12620,2002
918,R12620,2003
919,R01728,129
920,R01728,2003
921,R00732,129
922,R00732,2003
923,R03529,101
924,R03529,4187
925,R09339,101
926,R09339,4187
927,R07483,3447
928,R07483,6166
929,R05639,3447
930,R05639,6166
931,R05641,3447
932,R05641,6166
933,R12144,217
934,R00640,217
935,R07679,217
936,R01867,2002
937,R03220,867
938,R04178,2003
939,R04178,244
940,R03222,2003
941,R03222,244
942,R01175,4033
943,R01175,4052
944,R01175,633
945,R01279,4033
946,R01279,4052
947,R01279,633
948,R03777,4033
949,R03777,4052
950,R03777,633
951,R03857,4033
952,R03857,4052
953,R03857,633
954,R03990,4033
955,R03990,4052
956,R03990,633
957,R04751,4033
958,R04751,4052
959,R04751,633
960,R04754,4033
961,R04754,4052
962,R04754,633
963,R07888,4033
964,R07888,4052
965,R07888,633
966,R07892,4033
967,R07892,4052
968,R07892,633
969,R07896,4033
970,R07896,4052
971,R07896,633
972,R12356,4033
973,R12356,4052
974,R12356,633
975,R00388,4033
976,R00388,4052
977,R00388,633
978,R07934,4033
979,R07934,4052
980,R07934,633
981,R07950,4033
982,R07950,4052
983,R07950,633
984,R02164,278
985,R02164,604
986,R02164,187
987,R02164,221
988,R02661,4033
989,R02661,4052
990,R02661,633
991,R03172,4033
992,R03172,4052
993,R03172,633
994,R04432,4033
995,R04432,4052
996,R04432,633
997,R01178,4033
998,R01178,4052
999,R01178,633
1000,R00392,4033
1001,R00392,4052
1002,R00392,633
1003,R04095,4033
1004,R04095,4052
1005,R04095,633
1006,R01835,2002
1007,R02219,2002
1008,R02498,2002
1009,R02841,2002
1010,R03713,2002
1011,R03850,2002
1012,R04817,2002
1013,R04823,2002
1014,R02609,2002
1015,R02893,2002
1016,R02487,4033
1017,R02487,4052
1018,R02487,633
1019,R02488,4033
1020,R02488,4052
1021,R02488,633
1022,R10074,4033
1023,R10074,4052
1024,R10074,633
1025,R03028,4033
1026,R03028,4052
1027,R03028,633
1028,R04096,4033
1029,R04096,4052
1030,R04096,633
1031,R01868,2002
1032,R00145,2003
1033,R00146,2003
1034,R00365,2003
1035,R00396,2003
1036,R00145,2007
1037,R00146,2007
1038,R00243,2003
1039,R00243,2007
1040,R00248,2003
1041,R00248,2007
1042,R01434,2003
1043,R01434,2007
1044,R02196,2003
1045,R02196,2007
1046,R01088,2003
1047,R01088,2007
1048,R00093,187
1049,R00093,2002
1050,R00093,2003
1051,R00093,207
1052,R00093,210
1053,R00093,304
1054,R00256,187
1055,R00256,2002
1056,R00256,2003
1057,R00256,207
1058,R00256,210
1059,R00256,304
1060,R00243,187
1061,R00243,2002
1062,R00243,207
1063,R00243,210
1064,R00243,304
1065,R00114,2002
1066,R00114,207
1067,R00114,210
1068,R00114,304
1069,R00248,2002
1070,R00248,207
1071,R00248,210
1072,R00248,304
1073,R00114,187
1074,R00114,2003
1075,R00248,187
1076,R09830,2003
1077,R09830,2007
1078,R00688,2003
1079,R00688,2007
1080,R06124,2003
1081,R00359,2003
1082,R00366,2003
1083,R04221,2003
1084,R01340,2003
1085,R02457,2003
1086,R02894,2003
1087,R02923,2003
1088,R05861,2003
1089,R07400,2003
1090,R04907,2003
1091,R04907,244
1092,R04908,2003
1093,R04908,244
1094,R08346,2003
1095,R08346,244
1096,R02173,2003
1097,R02173,244
1098,R02382,2003
1099,R02382,244
1100,R02529,2003
1101,R02529,244
1102,R02532,2003
1103,R02532,244
1104,R02613,2003
1105,R02613,244
1106,R02908,2003
1107,R02908,244
1108,R02919,2003
1109,R02919,244
1110,R04025,2003
1111,R04025,244
1112,R04300,2003
1113,R04300,244
1114,R04674,2003
1115,R04674,244
1116,R04890,2003
1117,R04890,244
1118,R04893,2003
1119,R04893,244
1120,R04894,2003
1121,R04894,244
1122,R08347,2003
1123,R08347,244
1124,R08348,2003
1125,R08348,244
1126,R11354,2003
1127,R11354,244
1128,R01710,1
1129,R01711,1
1130,R00277,1
1131,R00278,1
1132,R04027,12
1133,R04027,243
1134,R06740,12
1135,R06740,243
1136,R01853,12
1137,R01853,243
1138,R02382,12
1139,R02382,243
1140,R02529,12
1141,R02529,243
1142,R02613,12
1143,R02613,243
1144,R03139,12
1145,R03139,243
1146,R04300,12
1147,R04300,243
1148,R06154,12
1149,R06154,243
1150,R04239,358
1151,R00357,278
1152,R00357,604
1153,R00481,278
1154,R00481,604
1155,R05708,217
1156,R05708,304
1157,R03425,3016
1158,R03425,7577
1159,R00021,2002
1160,R00021,207
1161,R00021,210
1162,R00021,304
1163,R10086,2002
1164,R10086,207
1165,R10086,210
1166,R10086,304
1167,R01374,2003
1168,R09493,2003
1169,R03291,129
